자료년도,국가구분,시도,시군구,시가화건조지역,농업지역,산림지역,초지,습지,나지,수역,합계
1990,남한,광주광역시,서구,11.9259,16.632,8.8767,2.1141,0,6.1245,0.9045,46.5777
1990,남한,대구광역시,남구,9.6579,0.0225,7.0803,0.4014,0,0.3204,0.0351,17.5176
1990,남한,대구광역시,달서구,27.7425,3.6657,22.5792,1.6524,0.009,5.7249,2.6883,64.062
1990,남한,대구광역시,달성군,20.6379,76.6269,285.6933,11.3805,0.1062,6.9336,21.825,423.2034
1990,남한,대구광역시,동구,21.6738,21.3408,125.1927,8.6139,0.0432,2.4642,2.7693,182.0979
1990,남한,대구광역시,북구,26.7786,7.2207,49.491,3.7026,0.0639,3.1149,3.0051,93.3768
1990,남한,대구광역시,서구,14.0976,0.1665,2.1375,0.3294,0,0.4167,0.1557,17.3034
1990,남한,대구광역시,수성구,20.7189,7.4007,43.3476,2.4138,0.0045,1.4391,1.206,76.5306
1990,남한,대구광역시,중구,6.7527,0.0054,0.0855,0.0531,0,0.1305,0.0441,7.0713
1990,남한,대전광역시,대덕구,18.2583,2.4966,34.767,3.7899,0.0045,3.8187,6.5943,69.7293
1990,남한,대전광역시,동구,14.9535,5.9607,96.8508,3.5181,0.0009,1.4058,13.8465,136.5363
1990,남한,대전광역시,서구,19.2231,12.7674,52.9938,5.3397,0.018,4.2516,1.3491,95.9427
1990,남한,대전광역시,유성구,16.3944,25.1586,106.6491,16.4331,0.0081,9.0081,1.899,175.5504
1990,남한,대전광역시,중구,14.3685,3.69,39.9879,2.2689,0.0036,1.2582,0.153,61.7301
1990,남한,부산광역시,강서구,19.0881,77.5494,44.5014,8.7462,2.6109,11.8521,20.0268,184.3749
1990,남한,부산광역시,금정구,10.0431,2.3904,42.084,7.5456,0.0297,1.2348,1.719,65.0466
1990,남한,부산광역시,기장군,6.2694,40.5216,156.1221,11.4669,0.3213,3.3282,2.3148,220.3443
1990,남한,부산광역시,남구,12.6468,0,7.3764,3.8952,0.0594,1.9494,0.261,26.1882
1990,남한,부산광역시,동구,6.1785,0,2.6514,0.4302,0.0045,0.2304,0.036,9.531
1990,남한,부산광역시,동래구,9.576,0,4.7385,1.8036,0.036,0.7659,0.0369,16.9569
1990,남한,부산광역시,부산진구,13.3848,0,11.6604,3.2229,0.0189,1.1817,0.0459,29.5146
1990,남한,부산광역시,북구,7.0173,1.6218,24.2019,3.3408,0.0279,2.1393,1.9224,40.2714
1990,남한,부산광역시,사상구,13.5864,3.8574,12.6036,2.3436,0.2934,1.3014,2.6955,36.6813
1990,남한,부산광역시,사하구,16.3494,1.0746,12.69,4.1823,0.3474,2.6424,3.8754,41.1615
1990,남한,부산광역시,서구,5.1606,0,6.5853,1.5921,0.0387,0.3834,0.2151,13.9752
1990,남한,부산광역시,수영구,6.2118,0,2.1663,1.3194,0.0198,0.4959,0.2709,10.4841
1990,남한,부산광역시,연제구,6.8805,0,2.9322,1.4076,0.0135,0.9045,0.0018,12.1401
1990,남한,부산광역시,영도구,6.3981,0,4.6278,2.0952,0.1431,0.7272,0.4455,14.4369
1990,남한,부산광역시,중구,2.4363,0,0.2538,0.2223,0.0009,0.0729,0.0207,3.0069
1990,남한,부산광역시,해운대구,12.3804,1.4517,27.6885,7.4097,0.1422,2.7801,0.3213,52.1739
1990,남한,서울특별시,강남구,23.0796,0.4005,8.2062,3.1401,0.027,1.683,1.8891,38.4255
1990,남한,서울특별시,강동구,12.5928,2.3589,5.1021,1.4445,0.0126,1.2672,2.7135,25.4916
1990,남한,서울특별시,강북구,8.4429,0.0036,13.4595,1.1115,0,0.6939,0,23.7114
1990,남한,서울특별시,강서구,20.2752,8.3664,4.248,4.2282,0.0531,1.7091,3.9393,42.8193
1990,남한,서울특별시,관악구,11.7036,0.1467,15.408,1.8081,0.0036,0.7821,0,29.8521
1990,남한,서울특별시,광진구,9.756,0.027,3.5136,1.5174,0.0297,0.7389,2.1231,17.7057
1990,남한,서울특별시,구로구,12.3093,0.4527,3.6747,2.4534,0.0108,0.8892,0.0477,19.8378
1990,남한,서울특별시,금천구,8.3043,0,2.8818,0.8019,0.0072,0.5346,0.036,12.5658
1990,남한,서울특별시,노원구,14.4729,0.0774,16.4421,2.7351,0.0009,1.7766,0.0225,35.5275
