지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
90,속초,2010-01,-.4,4,-4.7,12.6,-11.6,41.5,17.5,2.9,10.7,19.8,194.1,63.54,
90,속초,2010-02,1.5,5.4,-2.3,14.2,-8.7,113.5,28.8,2.4,9,17.5,134.1,44.45,
90,속초,2010-03,3.7,7.1,.6,13.2,-2.2,152.1,40.5,2.5,10.3,22.4,122.5,33.05,
90,속초,2010-04,9.1,13.1,5.3,20.3,.4,51.6,15.5,2.8,11.9,20.7,186.3,47.05,
90,속초,2010-05,16,20.8,11.4,30.9,5,149.5,93,2.7,11.3,21.5,206.6,46.77,
90,속초,2010-06,20.1,24.4,16.3,29.2,6.6,18,8.5,1.6,6.5,12.2,245.9,55.47,
90,속초,2010-07,25,28.7,22.3,35.1,18.1,92.8,18,2,8.1,15,132.8,29.47,
90,속초,2010-08,25.7,29.1,23.2,35.1,19.6,274.4,52.5,1.7,7.5,17.9,112.4,26.6,
90,속초,2010-09,20.4,24.5,17.1,31.1,9.5,272,54,1.8,8.9,19.7,138.3,37.04,
90,속초,2010-10,14.9,19.2,11.2,24.4,2.4,86.5,36.5,2.2,7.7,14.2,178.3,51.25,
90,속초,2010-11,9.1,13.8,4.1,21.1,-1.9,12,10,2.7,10.5,21,222.9,73.27,
90,속초,2010-12,2.8,7.5,-1.6,17.7,-10.7,19.7,17,3.3,11.7,21.1,191.5,64.63,
90,속초,2011-01,-2.7,1.8,-7.2,6.3,-13.2,12,8.8,2.7,10,17.2,234,76.65,
90,속초,2011-02,2.1,6,-2.2,15.1,-9,105.6,38.1,2.2,8.7,14,150.8,50.03,
90,속초,2011-03,5.3,9.7,.9,18.7,-5.9,20.4,7,2.7,8.7,17.7,226.8,61.25,
90,속초,2011-04,11.4,16.2,6.5,24.6,.9,115.7,30,3.2,10.8,20.6,207.6,52.49,
90,속초,2011-05,14.3,18.5,10.8,26.6,6.4,65.3,23.5,2.3,11.8,21,133,30.12,
90,속초,2011-06,20.2,24.5,16.6,35.3,11.5,341.5,93.5,2.1,10.2,15.9,199.1,44.92,
90,속초,2011-07,22.3,25.2,20.1,30.7,17.7,412.1,139,1.5,7.5,10.7,77.4,17.17,
90,속초,2011-08,24.8,28.1,22.1,35.7,18.7,140.3,54.5,1.7,7.9,13.5,136.6,32.32,
90,속초,2011-09,20.4,23.8,16.9,29,12.3,190.1,52.5,2.2,8.1,13.1,169.3,45.29,
90,속초,2011-10,14.9,19.1,10.6,26.4,4.6,22.1,10.5,2,11,16,203.2,58.41,
90,속초,2011-11,11,14.4,7.6,19.3,-.5,131.3,43,2.1,9.2,17.6,118.7,39.01,
90,속초,2011-12,1.3,5.1,-2.5,9.7,-8.7,99.7,27.1,1.9,8.7,15.5,186.7,63.01,
90,속초,2012-01,-.4,3.4,-3.7,6.4,-8.9,24.2,13,2.4,8.3,14.9,186,60.96,
90,속초,2012-02,.1,4.3,-4.4,11,-14.3,22.7,16.8,2.6,8.6,15.1,214.1,68.51,
90,속초,2012-03,5.3,9.1,1.5,19.4,-4.3,85.3,31,2.7,10.9,19.4,176.8,47.6,
90,속초,2012-04,12.1,16.5,7.7,24.3,.5,133,65.5,2.8,12.3,20.5,199,50.19,
90,속초,2012-05,16.4,20.3,13,27.8,9.6,46.1,13,2.2,9.1,15.2,172.7,43.15,
90,속초,2012-06,19.8,22.6,17.4,29,13.6,76.2,32,1.9,7.6,13.8,126.2,28.46,
90,속초,2012-07,23.9,27.6,21.3,34.7,17.2,244.3,72.5,1.9,10.7,16.5,153.5,34.08,
90,속초,2012-08,24.4,27.3,22.1,31.3,18.1,212.5,53.5,2,14.6,21.8,82.1,19.45,
90,속초,2012-09,19.6,23.1,16.4,29.3,11.7,233.5,175,2,11.5,19.6,168.9,45.29,
90,속초,2012-10,15.8,20.1,11.2,24,6.2,25.6,10.5,2.3,8.1,13.4,241.2,69.47,
90,속초,2012-11,7.6,11.6,3.4,16.9,-1.7,70.1,41,2.6,10.5,19.9,191.1,62.97,
90,속초,2012-12,-.5,3.6,-4.2,11.2,-11.8,44.2,34,2.6,12.4,21.3,189.4,63.92,
90,속초,2013-01,-.8,3.1,-4.6,10,-11.5,77.3,32.9,2.3,9.8,18.3,187.5,61.35,
90,속초,2013-02,1.3,5.5,-3.1,13.5,-14.1,16.1,10,2.5,8.9,15.6,207.8,68.81,
90,속초,2013-03,6.3,10.9,1.5,18.8,-6.1,66.2,26.8,2.7,10,18.1,227.1,61.18,
90,속초,2013-04,10.3,14.7,5.7,22.1,2,49,34.5,2.9,10.8,20.4,213.6,53.9,
90,속초,2013-05,16.9,21.1,13,29,7,80.1,31,2.4,10.7,17.9,243.9,55.18,
90,속초,2013-06,20.4,23.2,18.1,29.4,12.8,32,16,1.7,6.9,10.2,152.1,34.31,
90,속초,2013-07,25.6,29.1,22.9,33.6,19.6,292.7,102,1.9,8.3,17,161.7,35.89,
90,속초,2013-08,27.4,30.9,24.1,35.8,18.1,174.6,93.5,2,10.3,17,232.5,55.07,
90,속초,2013-09,20.3,23.6,17.1,29.2,11.3,175.3,46.5,1.8,7.5,12,161.9,43.37,
90,속초,2013-10,15.7,19.6,11.5,26,7.2,66.4,31.5,2.2,8.7,17.4,224.1,64.47,
90,속초,2013-11,8.4,12.1,4.3,19.9,-4,23.3,8,2.7,11.1,21.7,223,73.36,
90,속초,2013-12,2.7,6.2,-.9,13,-6.6,62.7,38,2.5,9.5,16.9,204.1,68.91,
90,속초,2014-01,1.9,5.7,-2.6,12.6,-8.8,29.3,14.1,2.3,9.8,18,200.9,65.76,
90,속초,2014-02,1,4.5,-2.3,16.7,-7.9,168.2,44.6,1.9,8.3,13.6,110.5,36.61,
90,속초,2014-03,7.9,12.2,3.2,26.9,-4.2,40.4,15.1,2.6,8.9,15.7,213.9,57.7,
90,속초,2014-04,13.3,17.6,8.8,27,.7,98.8,41,2.5,11.3,20.4,218.6,55.2,
90,속초,2014-05,18.1,23.4,13.5,32.5,8.1,25,11,2.8,11.9,22.5,275.9,62.46,
90,속초,2014-06,19.9,23.3,17.5,32.8,13.7,41.9,8,1.6,5.2,8.4,149.9,33.81,
90,속초,2014-07,25.1,28.7,21.7,34.6,16.9,126.9,46,1.9,7.3,14.4,251.3,55.77,
90,속초,2014-08,23.5,26.6,20.7,33.3,15.6,296.1,73.5,1.8,8.1,13.4,160.2,37.91,
90,속초,2014-09,20.6,24.5,17,31,12.7,181,138,1.8,9.1,14.5,194.8,52.17,
90,속초,2014-10,15.8,20,11.2,24.6,6.6,39.6,21,2.2,11.6,16.8,212.6,61.13,
90,속초,2014-11,10.2,14.1,6.3,19.5,-1.9,51.6,25,2.2,8.9,17.3,173.4,57,
90,속초,2014-12,.6,4.6,-3.7,11.7,-10.8,.2,.2,3,11.3,20.1,224,75.6,
90,속초,2015-01,1.8,5.6,-2.1,12.2,-7.9,8.7,4,2.2,11.5,17.6,185.6,60.79,
90,속초,2015-02,2.4,6.1,-1.4,14.5,-10.4,32.1,16,2.5,9.6,19.4,189.3,62.81,
90,속초,2015-03,6.6,11.5,1.7,21.4,-5,8,5.5,2.5,10.6,17.7,275.9,74.49,
90,속초,2015-04,11.1,15.1,7,29.8,1.2,74.2,21,2.5,10.2,18.9,185.4,46.87,
90,속초,2015-05,17.8,22.9,12.9,32.6,7.8,9.2,3,2.4,10.3,19.2,298.6,67.6,
90,속초,2015-06,19.5,23.2,16.4,30.1,12.7,127.7,114.5,2.1,10.1,14.8,191,43.1,
90,속초,2015-07,22.7,26.1,19.8,35.4,14.8,163.1,48,1.9,9.3,15.9,171.2,41.94,
90,속초,2015-08,24.2,28,20.7,33,16.1,198.6,59,1.8,10.7,18.1,193.5,52.83,
90,속초,2015-09,19.1,23.1,15.3,27.1,12.5,13.5,4,1.8,7.8,11.4,219,58.59,
90,속초,2015-10,14.7,19.3,10.2,26.2,1,27.4,14.8,2,8.8,16,240.6,69.16,
90,속초,2015-11,8.4,11.5,5.5,21.7,-3.2,463.5,67.5,2,8.1,15.1,98.6,32.4,
90,속초,2015-12,3,6.8,-1,10.9,-7.2,1.7,1.3,1.8,8.2,17.9,164.9,55.65,
90,속초,2016-01,-1.2,2.7,-5.3,11.5,-16.4,6.6,3.7,2.4,8.7,20,191.1,69.39,
90,속초,2016-02,.8,4.3,-3,10.3,-9.4,38.3,13.4,2.1,8.8,17.5,197.6,63.23,
90,속초,2016-03,7,11.4,2.4,21.5,-7.6,31.8,18.2,1.9,8.8,15.4,209.6,56.44,
90,속초,2016-04,12.6,17.8,7.6,29.3,3.6,77.5,32.3,2.3,10.4,23.1,222.9,56.22,
90,속초,2016-05,17.2,22.6,12.5,29,7.3,35.7,20.5,2.2,10.7,26.2,261.1,59.06,
90,속초,2016-06,20.6,24.3,17.5,30.5,12.6,62.2,30.9,1.8,8.8,14.5,175.3,39.54,
90,속초,2016-07,22.9,25.8,20.7,31.9,17,477.8,206.4,1.3,7.7,11.3,119.2,26.47,
90,속초,2016-08,25.5,29.3,22.1,35.9,15.3,186.9,65.4,1.6,9.9,17.1,220.7,52.3,
90,속초,2016-09,20.4,23.6,17.5,28.6,13.2,126,41.8,1.5,7.7,13.6,130,34.86,
90,속초,2016-10,15.3,19,11.5,24.2,3.3,128.5,52.3,1.7,8.1,12.4,140.8,40.55,
90,속초,2016-11,8.4,12.6,4,20.8,-2.5,40.8,17.3,1.8,8.3,15.8,172.2,56.74,
90,속초,2016-12,4.4,8.4,.3,14.1,-6.1,121.7,36.2,1.9,9.9,19.5,164.8,55.62,
90,속초,2017-01,.8,5,-3.3,11.3,-11.2,82.4,29.3,1.9,8.6,14.9,215.4,70.48,
90,속초,2017-02,3,7.5,-1.7,14.7,-8.2,3.2,3.2,2,11.4,17.9,222.2,73.58,
90,속초,2017-03,7,11.4,2.6,18.5,-2.8,48.7,11.8,1.9,8.1,12.2,199.8,53.83,
90,속초,2017-04,14.8,20.1,9.8,30.8,2.6,46.8,17.1,2.3,8.1,14.8,255.2,64.38,
90,속초,2017-05,18.7,23.8,13.8,34.3,9.3,25.2,9.8,2,9.5,17.6,272.3,61.61,
90,속초,2017-06,19.8,23.8,15.9,29.7,9.9,69.7,15,1.7,7.1,16,204.7,46.18,
90,속초,2017-07,25.6,29.1,22.5,34.9,18.9,270.3,67.6,1.2,5.6,11.7,165.4,36.71,
90,속초,2017-08,23.7,26.7,21.1,32.4,16.4,424.9,89.4,1.1,7.7,11.6,107.2,25.39,
90,속초,2017-09,20.8,25.1,16.1,28.4,13.1,50.5,28.8,1.6,7.6,15.7,249.2,66.77,
90,속초,2017-10,14.5,18.8,10.5,25,4,135.4,38.8,1.7,9.8,15.2,157.7,45.39,
90,속초,2017-11,7.8,12.3,2.9,20.4,-4,41.2,20.9,2.2,8.2,15.3,218.5,71.88,
90,속초,2017-12,.7,4.7,-3.6,11.4,-9.9,9.9,9.4,2.2,9.1,17,230.3,77.75,
90,속초,2018-01,-1.4,2.8,-5.6,11.9,-16.2,3.9,2.4,2,8.5,18,214.7,70.26,
90,속초,2018-02,-.5,3.9,-4.9,10.5,-13.2,54.4,49,2.1,8.6,16.7,218.5,72.4,
90,속초,2018-03,8,12.5,3,24.7,-6.2,55,22,2.2,13.4,17.3,171.2,46.17,
90,속초,2018-04,13,18.8,7.5,32.5,2,141.7,56.8,2.3,8.2,15.5,227.6,57.47,
90,속초,2018-05,15.9,20.7,11.6,29.4,4.5,123.6,47.3,2,10.3,19.4,186.4,42.2,
90,속초,2018-06,21.3,25.9,17.4,33.9,13.2,46.5,18.6,1.7,12.5,18.1,208.8,47.1,
90,속초,2018-07,25,28.7,22.1,35.4,14.8,185.4,53.2,1.6,5.7,10.4,209.3,46.45,
90,속초,2018-08,25.6,29.2,22.4,38.7,17.2,625,226.2,1.6,9.1,12,185.3,43.85,
90,속초,2018-09,20,23.8,16.2,29,12.6,66.1,24.4,1.5,5.9,13.9,196.1,52.52,
90,속초,2018-10,13.5,17.9,9,23.8,.3,257.6,130,1.8,8.4,16.8,229.5,65.99,
90,속초,2018-11,9.2,13.3,5.3,19.2,-1.9,207.4,152.8,1.6,6.3,13.6,165.7,54.47,
90,속초,2018-12,1.6,5.8,-2.4,12.7,-11.4,10.4,7.1,1.8,7.1,15.1,208,70.2,
93,북춘천,2016-10,14.1,20.9,8.6,29,-1.9,112.1,39,.9,6,10.1,185.3,53.29,381.67
93,북춘천,2016-11,5.1,11.2,-.5,19.5,-9.1,13.2,5.5,.9,5.5,9.9,147.4,48.44,259.88
93,북춘천,2016-12,-.2,5.3,-5,10.2,-12.1,83.1,49,.8,6.4,11.3,142.3,47.8,204.42
93,북춘천,2017-01,-3.4,3.3,-9.8,11.6,-17,15.9,7.1,1.1,7.7,13.7,204.2,66.6,286.3
93,북춘천,2017-02,-1.5,5.4,-8.2,12.2,-15.7,11,3.5,1.2,6.5,10.9,214.9,71.04,356.79
93,북춘천,2017-03,4.6,12.2,-2.3,19,-8.3,17.9,11.5,1.3,7,12,212.4,57.24,436.28
93,북춘천,2017-04,13.2,21,5.6,29.1,-.8,54.1,21,1.9,8.7,14,257.3,65.01,560.07
93,북춘천,2017-05,18.6,26.2,11.3,30.7,6.7,25.5,10.5,1.8,9.4,15.9,280.1,63.49,645.7
93,북춘천,2017-06,22.3,29.6,15.8,35,9.2,38.1,14.5,1.5,7,12.3,271.2,61.23,656.82
93,북춘천,2017-07,26.3,30.7,23,34.9,19.4,477.8,146.5,1,7.4,10.9,126.4,28.13,421.28
93,북춘천,2017-08,24.4,29.6,20.5,37.5,13.9,376.3,89,1.1,6.4,12.2,150.3,35.65,438.14
93,북춘천,2017-09,19.1,26.5,13,30.5,4.9,33.8,17,1.1,6.2,10.7,220.3,59.06,480.31
93,북춘천,2017-10,13.5,21,7.7,26.9,-3.7,42.6,22.5,1.1,5.9,11.1,196.9,56.61,366.06
93,북춘천,2017-11,3.2,9.9,-3,18.8,-10.2,15.9,6.9,1.2,8,14.3,185.3,60.83,267.52
93,북춘천,2017-12,-4.3,1.5,-10.3,8.6,-19,24.5,10.4,1.2,7.2,12.8,183.8,61.72,248.12
93,북춘천,2018-01,-6,.6,-11.8,8.6,-21.7,6.5,3.7,1.3,8.4,13.8,203,66.23,297.61
93,북춘천,2018-02,-3.4,3.6,-10.3,10.4,-19.2,33,28.5,1.5,7.5,12.9,214.2,70.86,345.45
93,북춘천,2018-03,7,13.8,.2,23.4,-8.2,32,11,1.8,8.8,13.5,204.3,55.07,434.45
93,북춘천,2018-04,12,19.5,4.9,29.2,-3,117.2,46.5,1.9,8.7,16.2,218.7,55.3,505.89
93,북춘천,2018-05,17.2,23.9,10.8,31,2.9,200.5,97,1.7,8.3,16.7,233.2,52.89,577.58
93,북춘천,2018-06,22.6,29.3,16.6,34.5,11.9,88.6,57.5,1.5,8.6,15.3,252.8,57.08,628.31
93,북춘천,2018-07,26.3,31.8,21.7,37.6,13.7,189.7,76.5,1.3,6.7,11,243.9,54.26,520.07
93,북춘천,2018-08,26.9,32.9,22.2,40.6,15.8,354.6,189.5,1.3,10.3,14.9,223,52.83,464.48
93,북춘천,2018-09,19.1,25.7,13.4,29.5,6.5,63,28,1.1,5.9,8.6,205.5,55.05,397.14
93,북춘천,2018-10,10.3,17.9,4.4,25,-2.5,102.6,59.5,1.1,8.6,14.3,200.3,57.54,314.48
93,북춘천,2018-11,5.1,12.1,0,19.3,-7.3,56.9,44.5,.7,6.7,8.7,148.2,48.61,206.42
93,북춘천,2018-12,-3.2,3.4,-8.7,12,-16.9,17.3,8,1,6.4,10.4,194.9,65.42,216.07
95,철원,2010-01,-8.2,-1.5,-15.2,7,-26.8,29.4,8.7,1.3,7.1,11,167.5,54.79,
95,철원,2010-02,-1.4,4.1,-6.8,17.2,-15.8,50.8,22.5,2,7.9,11,137.8,45.64,
95,철원,2010-03,2.5,7.2,-2.3,14.2,-7,61.5,15,2.6,10.2,15.6,124.7,33.62,
95,철원,2010-04,7.8,14.1,1.5,21.4,-4.1,51.7,15,2.5,10.6,16.5,148.7,37.57,
95,철원,2010-05,16.2,22.1,10,28.6,1,97.7,55,2.3,8.4,14.4,178.9,40.52,
95,철원,2010-06,22.1,28.1,16.6,32.8,6.1,123.1,60.5,1.5,8,15.4,207.7,46.87,
95,철원,2010-07,24.8,29,21.4,32.1,18.2,347.6,97.5,2,7.5,12.4,88,19.54,
95,철원,2010-08,25.3,29.6,21.9,32.9,17.7,574.7,79.5,1.6,12.8,23.1,96.1,22.75,
95,철원,2010-09,19.8,25.2,15.4,31.1,4.2,461.3,125.5,1.7,8.9,24.5,149.4,40.01,
95,철원,2010-10,11.9,19,6,24.1,-5.2,23,15,1.2,7.2,11.6,176.9,50.85,
95,철원,2010-11,3.5,10.2,-2.6,16.7,-8.8,21.9,8,1.5,9.9,18.1,160.5,52.73,
95,철원,2010-12,-3.6,2.3,-9.2,12.9,-19.5,24.8,6.1,1.8,9,14.9,139.9,47.14,
95,철원,2011-01,-11.5,-3.4,-19.1,3.6,-24.3,8.1,5.5,1.3,6.5,13,223.2,73.04,
95,철원,2011-02,-1.6,5.5,-7.8,13.3,-14.5,26.3,26,1.4,8.5,12.8,173.1,57.39,
95,철원,2011-03,2.1,8.4,-4,18.1,-10.3,12.7,5,2.2,8.3,12.8,233.4,63.03,
95,철원,2011-04,9.1,16,2.1,20.6,-2.7,86.7,47,2.3,9.2,18.2,182.4,46.13,
95,철원,2011-05,16.7,23,10.7,30,5.3,102.1,36,2.2,8.7,15,191.6,43.43,
95,철원,2011-06,21.3,26.5,16.5,33.2,12.3,299.5,80.5,2.2,7.8,12.4,188.3,42.51,
95,철원,2011-07,24,27.9,21,32.3,17,738.5,200.5,1.7,7.7,12.4,87.5,19.43,
95,철원,2011-08,24.4,29.4,20.9,34.3,15,200,50,1.6,8.4,15.4,105.4,24.94,
95,철원,2011-09,18.8,25.3,13.3,30.1,5.6,41,24,1.9,8.2,12,190.9,51.07,
95,철원,2011-10,10.9,18.4,4,21.9,-3.1,29.9,17.5,1.3,7.3,13.4,201.2,57.82,
95,철원,2011-11,7.7,13.2,2.6,24,-8.8,100.4,28,1.7,7.1,12.1,118,38.75,
95,철원,2011-12,-4.1,1.4,-9.4,6.8,-17.3,11.1,7,1.3,5.5,9,164.4,55.41,
95,철원,2012-01,-6.6,.2,-13.1,7.1,-18.8,7.4,4.7,1.3,6.9,9.6,174.2,57.06,
95,철원,2012-02,-5.4,2.1,-12.9,11.2,-24.6,1.8,1.3,1.5,7.2,14.2,213.6,68.33,
95,철원,2012-03,2.8,8.6,-2.9,17.5,-9.8,33.4,13,2.5,7.6,13.6,154.3,41.55,
95,철원,2012-04,10.5,17.4,3.8,29.8,-5,146.5,37.5,2.3,8.2,16,192.7,48.61,
95,철원,2012-05,17.5,24.1,11.1,29.6,5.6,24.3,14.5,2,8.7,14.7,228.5,51.71,
95,철원,2012-06,22.2,28.4,16.9,33,13,108.7,89,2.2,7.4,11.9,202.8,45.77,
95,철원,2012-07,23.8,28,20.1,31.8,17,227.7,55,2.1,7.2,12.8,103.1,22.92,
95,철원,2012-08,24.8,29.6,20.9,34.3,16.4,466.7,174.5,2.1,10.3,17.6,148.1,35.12,
95,철원,2012-09,18.3,24,13.4,28.6,6.7,114.1,56.5,1.6,10.7,17.6,168.8,45.28,
95,철원,2012-10,12.1,19.2,5.7,25.4,-1.2,83.3,41,1.3,6.5,12.3,245.3,70.63,
95,철원,2012-11,2.9,8.2,-2.2,15.4,-8.8,63.8,32,1.6,8.7,15.2,169.5,55.76,
95,철원,2012-12,-7.5,-2.1,-12.9,5.9,-21.7,40,17,1.3,7.1,12.9,179,60.35,
95,철원,2013-01,-8.1,-1.6,-14,9.6,-25.8,19.1,10.5,1.1,7.4,13.4,150.4,49.17,
95,철원,2013-02,-3.9,1.6,-9.5,10.5,-21.8,53.9,35,1.4,6.4,12,179.9,59.53,
95,철원,2013-03,3,10,-3.7,22.4,-8,24,11.5,1.8,7,11.9,256.9,69.21,
95,철원,2013-04,8.1,14.4,1.5,20.4,-3.4,64.6,22.5,2.4,7.9,13.4,202,51,
95,철원,2013-05,16.9,23.3,10.7,30.5,5.1,84.6,29.5,2,8.4,11.7,228.6,51.74,
95,철원,2013-06,22.8,28.5,17.7,32.7,12.7,23.3,7.5,1.6,6.2,10,238.9,53.92,
95,철원,2013-07,24.6,27.8,22.2,31,19.8,1009.2,145.5,2.2,8.3,17.2,115.9,25.74,
95,철원,2013-08,25.8,30.7,21.6,32.5,16.7,208.7,93.5,1.7,7.6,14.8,224.9,53.28,
95,철원,2013-09,19.1,24.7,14.1,29.9,5.2,153.4,58,1.5,7.4,10.3,187,50.11,
95,철원,2013-10,12.4,20,5.6,28.1,-1.4,20.7,9,1.5,7.2,11.8,243.3,69.95,
95,철원,2013-11,3.1,9,-2.4,20,-13.6,73.3,21,1.6,10.3,17.6,174.1,57.23,
95,철원,2013-12,-3.8,2.2,-9.1,9.1,-16.8,24.1,12,1.1,6.8,11.7,162.5,54.79,
95,철원,2014-01,-3.4,2.2,-9.3,6.7,-16,12.7,6,1.1,7.3,12.9,174.3,57.02,
95,철원,2014-02,-1,5.2,-6.3,15.8,-13.3,18,10.5,1.5,6.8,9.8,180.3,59.72,
95,철원,2014-03,5.6,12.4,-1.4,22.2,-10.4,7.1,3.5,1.9,9.4,15.1,225.4,60.77,
95,철원,2014-04,12.3,20,4.9,25.3,-5.6,14,8,2,8.5,13.8,209.5,52.93,
95,철원,2014-05,17.4,24.5,10.6,32.2,1.7,81.6,26,2.3,9.8,15.6,303.5,68.73,
95,철원,2014-06,21.5,27.1,16.9,31.1,13.9,75.6,29.5,1.9,6.2,12,187.2,42.25,
95,철원,2014-07,24.5,29.9,20.2,32.6,16.2,186.7,81,1.7,9.7,16.2,207.1,46,
95,철원,2014-08,23.1,27.8,19.1,35.3,15,105,33.5,1.8,7.4,11.5,159.8,37.84,
95,철원,2014-09,19.3,25.9,13.4,30.1,8.8,73,53,1.3,5.9,9.4,230,61.6,
95,철원,2014-10,12.4,20.4,5.6,29,-2.4,55.4,20.5,1.6,9.2,15.4,237.8,68.35,
95,철원,2014-11,5.6,11.9,-.4,21.2,-7.5,42.2,11,1.3,7,12.7,178.8,58.74,
95,철원,2014-12,-5.9,-.1,-12.1,7.1,-20.3,13.1,5.1,1.4,9.4,14.9,193.2,65.09,
95,철원,2015-01,-4,2.1,-10,8.1,-16.3,17,7.5,1.1,5.7,9.1,185.2,60.6,
95,철원,2015-02,-1.3,4.6,-7,11.9,-18.1,24,10,1.4,6.3,10.7,172.8,57.29,
95,철원,2015-03,4,11.6,-3.8,21.2,-9.8,7.8,4.5,1.8,8.1,12.3,266.5,71.95,
95,철원,2015-04,11.3,18.5,4,28.9,-2.8,98.3,43,2.2,8.1,14.6,227.8,57.61,
95,철원,2015-05,17.6,24.7,10,31.3,3,35.8,18,1.9,7.9,13.8,298,67.54,
95,철원,2015-06,21.6,28,15.7,33,10.6,79.6,23.5,1.8,7.5,13.2,274.5,61.96,
95,철원,2015-07,23.8,28.7,19.6,35.6,13.3,458,134,2,8.6,12.3,197.7,43.9,
95,철원,2015-08,24.1,29.7,19.6,33.3,13.9,140.6,66.5,1.6,8.9,18.7,246.5,58.33,
95,철원,2015-09,18.9,26.2,12.7,28.8,8.1,32.7,29.5,1.6,7.1,11.4,256.6,68.66,
95,철원,2015-10,12.3,19.7,5.7,25.7,-4.9,64,21.5,1.3,6.8,12.4,230.4,66.21,
95,철원,2015-11,6.6,11.5,2.4,18.1,-8,111.5,26,1.9,7.4,10.8,101.1,33.2,
95,철원,2015-12,-1.2,4.4,-6.1,10,-15.2,25.6,20.5,1,6.6,10.5,168,56.62,
95,철원,2016-01,-6,0,-12.2,8.2,-20.6,.9,.9,1.3,6.4,11.6,187.6,61.43,
95,철원,2016-02,-2.2,4.1,-8.7,14.6,-17,54.1,32.2,1.5,7.5,11.4,186.1,59.53,
95,철원,2016-03,4.7,11.7,-2.4,21.4,-13.4,45.2,44.7,1.6,7.6,12.1,236.3,63.62,
95,철원,2016-04,12.6,20,5.2,25.6,-1.1,88.8,34.8,2.2,9,13.1,218.2,55.03,
95,철원,2016-05,17.7,24.6,10.9,30.8,5.1,149.9,43.5,1.9,8.3,14.7,248.1,56.14,
95,철원,2016-06,22.1,28,16.8,30.9,12,27.1,14.6,1.6,6.3,9.3,230.1,51.93,
95,철원,2016-07,24.1,28.8,20.2,33.5,16.4,460.5,154.2,1.6,6.4,9.5,153.9,34.22,
95,철원,2016-08,25.3,31,20.7,34.3,10.6,63.7,30.2,1.5,7.1,12.6,230.5,54.66,
95,철원,2016-09,20.2,26.7,15.1,29.7,6.1,32.2,13.4,1.5,7,13.4,202.5,54.32,
95,철원,2016-10,13.4,19.9,7.6,27.3,-4,173.1,91.6,1.3,6.7,10.1,185.7,53.47,
95,철원,2016-11,4.3,10.2,-1.2,18.6,-10.6,15.6,8,1.2,6.2,11.2,142.8,46.97,
95,철원,2016-12,-1.4,4.3,-6.6,11.8,-18.7,69.8,39.5,1,7.4,11.6,135.1,45.55,
95,철원,2017-01,-4.4,2,-10.4,9.9,-18.2,14.5,6.6,1.2,6.8,11.2,196.9,64.37,
95,철원,2017-02,-2.6,3.7,-9.2,10.6,-16.6,9.8,3.7,1.3,6.3,10.3,201.3,66.61,
95,철원,2017-03,3.5,10.8,-3.4,17.4,-9.4,21.5,9.2,1.3,6.8,11.6,216,58.17,
95,철원,2017-04,12.1,19.3,4.8,26.6,-2.4,63.6,18.7,2,7.8,13.6,248.1,62.64,
95,철원,2017-05,17.7,24.4,10.9,28.9,5.9,36,13.8,1.8,8.3,15.2,277.6,62.83,
95,철원,2017-06,21.3,27.7,15,32,8.7,74.2,19.6,1.7,7.5,11.6,272.3,61.45,
95,철원,2017-07,25.5,29.7,22.1,33.6,18.1,575.2,117.9,1.6,6.4,10.1,119.9,26.63,
95,철원,2017-08,23.6,28.5,19.5,33.8,11.7,354.9,102.6,1.7,5.9,10.6,145.9,34.57,
95,철원,2017-09,18.8,25.8,12.6,28.9,3.9,26.6,12.8,1.4,8.7,14.6,171.6,47.53,
95,철원,2017-10,12.8,20.2,6.5,26.8,-4.8,10.8,6.6,1.2,6.9,12.2,195.4,56.21,
95,철원,2017-11,2.7,8.7,-3.7,18.2,-11.5,33.5,15.4,1.3,7.2,12.8,163.4,53.71,
95,철원,2017-12,-4.9,.4,-10.8,8.5,-18.8,12.8,7.3,1.2,6.1,12.5,171.3,57.75,
95,철원,2018-01,-7.3,-1.2,-13.3,7.7,-25.2,7.9,5.1,1.1,5.6,10.7,185.7,60.75,
95,철원,2018-02,-4.4,2.1,-11.5,9.8,-21.1,14.4,11,1.5,6.8,11.3,206.4,68.37,
95,철원,2018-03,6.2,12.8,-.4,21.9,-10.8,33.6,10.7,2.1,7.9,13.4,202.7,54.65,
95,철원,2018-04,11.2,17.9,4.4,27.1,-3.5,139.4,65.5,2.5,9.7,16.4,203.6,51.43,
95,철원,2018-05,16.8,22.8,10.9,29.5,5.7,263.1,103.7,2.2,8.1,13.4,231.4,52.39,
95,철원,2018-06,21.7,27.8,16,32.3,12,122.3,72.7,1.8,7.1,13.7,232.2,52.4,
95,철원,2018-07,25.4,30.4,21.3,36,14.7,174.2,45.8,2,8.1,12.2,234.6,52.11,
95,철원,2018-08,26.3,31.8,21.8,38.4,15.4,527,384.3,1.9,8.8,14.2,235.2,55.7,
95,철원,2018-09,18.8,25.2,13,29.4,5.9,55.4,24.1,1.5,6.1,10.6,206.9,55.41,
