"model","focal_variable","species","focal_value","estimate","lower_95","upper_95"
"climate_ratio_only","ratio_sun_z","cerana",-2.38122743937317,10.8578966444869,3.63607276249519,26.8456986335599
"climate_ratio_only","ratio_sun_z","cerana",-2.33179895311782,10.8108408871178,3.63841384689846,26.7395643493327
"climate_ratio_only","ratio_sun_z","cerana",-2.28237046686247,10.764077521649,3.63434609406678,26.6338653909384
"climate_ratio_only","ratio_sun_z","cerana",-2.23294198060713,10.7176045694344,3.62910707177905,26.528599925668
"climate_ratio_only","ratio_sun_z","cerana",-2.18351349435178,10.6714200666535,3.62387853027685,26.4237661290807
"climate_ratio_only","ratio_sun_z","cerana",-2.13408500809643,10.6255220641881,3.61866044910956,26.2277428012518
"climate_ratio_only","ratio_sun_z","cerana",-2.08465652184108,10.5799086275002,3.61345280786384,26.0310250152188
"climate_ratio_only","ratio_sun_z","cerana",-2.03522803558574,10.5345778365116,3.6082555861636,25.8358070053306
"climate_ratio_only","ratio_sun_z","cerana",-1.98579954933039,10.4895277854838,3.60306876366991,25.6420774417888
"climate_ratio_only","ratio_sun_z","cerana",-1.93637106307504,10.4447565828991,3.59789232008095,25.4498250814307
"climate_ratio_only","ratio_sun_z","cerana",-1.88694257681969,10.4002623513431,3.59272623513196,25.2613017214121
"climate_ratio_only","ratio_sun_z","cerana",-1.83751409056435,10.356043227388,3.58757048859513,25.1303428508561
"climate_ratio_only","ratio_sun_z","cerana",-1.788085604309,10.3120973614769,3.58354512424391,25.0030109407828
"climate_ratio_only","ratio_sun_z","cerana",-1.73865711805365,10.2684229178089,3.57713157260075,24.960278376675
"climate_ratio_only","ratio_sun_z","cerana",-1.6892286317983,10.2250180742259,3.57176006617696,24.9172024239718
"climate_ratio_only","ratio_sun_z","cerana",-1.63980014554296,10.1818810220996,3.56640047203857,24.8742336595585
"climate_ratio_only","ratio_sun_z","cerana",-1.59037165928761,10.13900996622,3.56105276116346,24.7657047949191
"climate_ratio_only","ratio_sun_z","cerana",-1.54094317303226,10.0964031246846,3.55584134747972,24.6356836588977
"climate_ratio_only","ratio_sun_z","cerana",-1.49151468677691,10.054058728789,3.55070939863881,24.5679931875797
"climate_ratio_only","ratio_sun_z","cerana",-1.44208620052157,10.0119750229177,3.54558780559058,24.5004923311329
"climate_ratio_only","ratio_sun_z","cerana",-1.39265771426622,9.97015026443667,3.54047654795563,24.4318765582135
"climate_ratio_only","ratio_sun_z","cerana",-1.34322922801087,9.92858272358627,3.53537560539201,24.3620025130625
"climate_ratio_only","ratio_sun_z","cerana",-1.29380074175552,9.88727068337557,3.53028495759515,24.2923374474007
"climate_ratio_only","ratio_sun_z","cerana",-1.24437225550018,9.84621243947724,3.52520458429778,24.1869198531618
"climate_ratio_only","ratio_sun_z","cerana",-1.19494376924483,9.80540630012357,3.52013446526989,24.0433809663275
"climate_ratio_only","ratio_sun_z","cerana",-1.14551528298948,9.76485058600328,3.51507458031867,23.9007060417121
"climate_ratio_only","ratio_sun_z","cerana",-1.09608679673413,9.72454363015936,3.50479943532626,23.7588899232952
"climate_ratio_only","ratio_sun_z","cerana",-1.04665831047879,9.68448377788772,3.4763845981848,23.6213423638576
"climate_ratio_only","ratio_sun_z","cerana",-0.997229824223438,9.64466938663679,3.46404880507143,23.5512995320272
"climate_ratio_only","ratio_sun_z","cerana",-0.94780133796809,9.60509882590794,3.45805468928954,23.4814674795378
