"model","predictor","estimate","lower_95","upper_95","IRR","IRR_lower_95","IRR_upper_95","direction_probability","credible_95"
"climate_both","sum_sun_z",1.52074434447722,-1.09894248961579,4.08105674324773,4.57562977264683,0.333223284520883,59.208004461475,0.8695,FALSE
"climate_both","ratio_sun_z",-1.51502926320926,-3.9869712418565,0.997271144479319,0.219801752648966,0.0185558302177585,2.71087414193469,0.878,FALSE
"climate_sum_only","sum_sun_z",-0.0573312524907712,-0.4103245595083,0.294983180379047,0.944281222046866,0.663434891087756,1.34310376800002,0.614,FALSE
"climate_ratio_only","ratio_sun_z",-0.0767426148939129,-0.413199829953541,0.266065771124692,0.926128194536078,0.661530076094484,1.30482087540126,0.672,FALSE
