"model","focal_variable","species","focal_value","estimate","lower_95","upper_95"
"climate_sum_only","sum_sun_z","cerana",-2.32844125188069,10.9290526004967,3.83404917932712,27.0139262434695
"climate_sum_only","sum_sun_z","cerana",-2.28078374125052,10.8795692997689,3.83043517020425,26.8319028525278
"climate_sum_only","sum_sun_z","cerana",-2.23312623062035,10.8303969433918,3.82436913884334,26.6511312312127
"climate_sum_only","sum_sun_z","cerana",-2.18546871999018,10.7815334117079,3.81346940392309,26.4989733841092
"climate_sum_only","sum_sun_z","cerana",-2.13781120936001,10.7329766010125,3.80507114032593,26.4604952464238
"climate_sum_only","sum_sun_z","cerana",-2.09015369872984,10.6847244234201,3.80162059205135,26.4220885380417
"climate_sum_only","sum_sun_z","cerana",-2.04249618809967,10.6367748067314,3.79817481284066,26.2660468411787
"climate_sum_only","sum_sun_z","cerana",-1.9948386774695,10.5891256943024,3.79473379448683,26.1104878052993
"climate_sum_only","sum_sun_z","cerana",-1.94718116683933,10.5417750449139,3.79156490883429,25.9542138215718
"climate_sum_only","sum_sun_z","cerana",-1.89952365620916,10.4947208326426,3.78860437252309,25.7988875011361
"climate_sum_only","sum_sun_z","cerana",-1.85186614557899,10.4479610467333,3.78564808484661,25.6445031572775
"climate_sum_only","sum_sun_z","cerana",-1.80420863494882,10.401493691472,3.78360152070178,25.4910551378131
"climate_sum_only","sum_sun_z","cerana",-1.75655112431865,10.3553167860606,3.77864240271332,25.3385378248818
"climate_sum_only","sum_sun_z","cerana",-1.70889361368848,10.3094283644921,3.7603519546785,25.2207293794417
"climate_sum_only","sum_sun_z","cerana",-1.66123610305831,10.2638264754278,3.74908933700893,25.1761038835967
"climate_sum_only","sum_sun_z","cerana",-1.61357859242814,10.2185091820744,3.73805289443129,25.1315620114257
"climate_sum_only","sum_sun_z","cerana",-1.56592108179797,10.1734745620637,3.72706131821739,25.0871035948979
"climate_sum_only","sum_sun_z","cerana",-1.5182635711678,10.1287207073317,3.71611443222507,25.0427284663729
"climate_sum_only","sum_sun_z","cerana",-1.47060606053763,10.0842457240006,3.70992418394762,24.9984364585996
"climate_sum_only","sum_sun_z","cerana",-1.42294854990746,10.0400477322602,3.70589588014705,24.9524237867435
"climate_sum_only","sum_sun_z","cerana",-1.37529103927729,9.99612486625113,3.7018740490501,24.8133887382114
"climate_sum_only","sum_sun_z","cerana",-1.32763352864712,9.95247527394968,3.68639690257101,24.6203925112058
"climate_sum_only","sum_sun_z","cerana",-1.27997601801695,9.9090971170525,3.66902070758914,24.6007440653307
"climate_sum_only","sum_sun_z","cerana",-1.23231850738678,9.86598857086315,3.66382234152818,24.5802724228292
"climate_sum_only","sum_sun_z","cerana",-1.18466099675661,9.82314782417942,3.65872316149192,24.5598246734317
"climate_sum_only","sum_sun_z","cerana",-1.13700348612644,9.78057307918169,3.65373066328287,24.5014755470133
"climate_sum_only","sum_sun_z","cerana",-1.08934597549627,9.73826255132225,3.64890081580736,24.404845761756
"climate_sum_only","sum_sun_z","cerana",-1.0416884648661,9.69621446921573,3.64407994643934,24.3086104473638
"climate_sum_only","sum_sun_z","cerana",-0.994030954235931,9.65442707453036,3.63032100108416,24.2125713478518
"climate_sum_only","sum_sun_z","cerana",-0.946373443605761,9.61289862188039,3.61315565563073,24.1133971819948
"climate_sum_only","sum_sun_z","cerana",-0.898715932975591,9.57162737871932,3.5924850392438,24.0146414999472
"climate_sum_only","sum_sun_z","cerana",-0.851058422345421,9.53061162523417,3.57235229320861,23.9619353703967
"climate_sum_only","sum_sun_z","cerana",-0.803400911715251,9.48984965424073,3.55454750410966,23.8215027743331
"climate_sum_only","sum_sun_z","cerana",-0.755743401085081,9.44933977107968,3.54394008334855,23.727527248743
"climate_sum_only","sum_sun_z","cerana",-0.708085890454911,9.40908029351373,3.53379035990521,23.6339353090481
"climate_sum_only","sum_sun_z","cerana",-0.660428379824741,9.36906955162561,3.53181707033614,23.5407254066333
"climate_sum_only","sum_sun_z","cerana",-0.612770869194571,9.32930588771703,3.53037520852839,23.447895999177
"climate_sum_only","sum_sun_z","cerana",-0.565113358564401,9.28978765620856,3.52893497344904,23.3554455506254
"climate_sum_only","sum_sun_z","cerana",-0.517455847934231,9.25051322354039,3.51954322991213,23.2610348777105
"climate_sum_only","sum_sun_z","cerana",-0.469798337304061,9.21148096807397,3.50545468203412,23.1669790891142
"climate_sum_only","sum_sun_z","cerana",-0.422140826673891,9.17268927999461,3.49144549038372,23.0733114643585
"climate_sum_only","sum_sun_z","cerana",-0.374483316043721,9.13413656121491,3.47650643441206,22.9800304232949
"climate_sum_only","sum_sun_z","cerana",-0.326825805413551,9.09582122527903,3.45440071755841,22.8871343922563
"climate_sum_only","sum_sun_z","cerana",-0.279168294783381,9.05774169726793,3.44203889101181,22.7946218040293
"climate_sum_only","sum_sun_z","cerana",-0.231510784153211,9.01989641370538,3.43177693992726,22.7024910978279
"climate_sum_only","sum_sun_z","cerana",-0.183853273523041,8.98228382246485,3.42155987636842,22.610740719267
"climate_sum_only","sum_sun_z","cerana",-0.136195762892871,8.94490238267726,3.40811096363091,22.5193691203356
"climate_sum_only","sum_sun_z","cerana",-0.0885382522627012,8.90775056463956,3.39465806462656,22.4283747593708
"climate_sum_only","sum_sun_z","cerana",-0.0408807416325314,8.8708268497241,3.38128101701309,22.3377561010309
"climate_sum_only","sum_sun_z","cerana",0.00677676899763879,8.83412973028893,3.36797940392031,22.24751161627
"climate_sum_only","sum_sun_z","cerana",0.0544342796278086,8.79765770958877,3.35482574930517,22.1576397823113
"climate_sum_only","sum_sun_z","cerana",0.102091790257979,8.76140930168691,3.34192975628715,22.0681390826215
"climate_sum_only","sum_sun_z","cerana",0.149749300888149,8.72538303136785,3.34201726606758,21.9790080068848
"climate_sum_only","sum_sun_z","cerana",0.197406811518319,8.68957743405079,3.34210672136368,21.8902450509773
