"model","term","estimate","posterior_sd","lower_95","upper_95","IRR","IRR_lower_95","IRR_upper_95","credible_95"
"climate_ratio_only","Intercept",1.6847464579932,0.0628591498853888,1.56082810455989,1.80625893771289,5.39108389282687,4.76276367885904,6.08763057403959,TRUE
"climate_ratio_only","mean_temp_z",0.0585148087925334,0.053596362961002,-0.0488116332001744,0.162476485095431,1.06026068675888,0.952360505904491,1.17642065470401,FALSE
"climate_ratio_only","ratio_sun_z",-0.086189074892758,0.0533236896684896,-0.191523095262987,0.0218269280680252,0.917420753589937,0.825700555114801,1.02206687807292,FALSE
"climate_ratio_only","speciesmellifera",1.42235703630291,0.149103287234411,1.12751136532016,1.71592321209411,4.14688328448782,3.0879621202231,5.56180787116081,TRUE
"climate_ratio_only","speciesmellifera:mean_temp_z",-0.194821291112231,0.156103156440298,-0.501444928614131,0.111179386651377,0.822981719062741,0.605654899065245,1.11759537056478,FALSE
"climate_ratio_only","speciesmellifera:ratio_sun_z",-0.0767426148939129,0.174795368185451,-0.413199829953541,0.266065771124692,0.926128194536078,0.661530076094484,1.30482087540126,FALSE
"climate_ratio_only","speciesmellifera:sum_rain_z",-0.309561279758858,0.115097383061784,-0.536643062012186,-0.0794758261512701,0.733768804845379,0.584707789301518,0.923600346673812,TRUE
"climate_ratio_only","sum_rain_z",0.0145860507616714,0.0549129738264498,-0.0939319987390173,0.119496867080811,1.01469294629563,0.91034466472115,1.12692971348195,FALSE
"climate_sum_only","Intercept",1.6839773442764,0.0611596955704535,1.56266779801044,1.8033839250488,5.38693913035761,4.77153376867045,6.07015369420855,TRUE
"climate_sum_only","mean_temp_z",0.0647432558787728,0.0556609414973267,-0.0438229625186092,0.174596007635118,1.06688507274751,0.957123389188924,1.19076505943461,FALSE
"climate_sum_only","speciesmellifera",1.42271375750482,0.151421524749173,1.12914752327483,1.73445072384036,4.14836282955411,3.0930186495221,5.66581485192504,TRUE
"climate_sum_only","speciesmellifera:mean_temp_z",-0.203529210352366,0.154259174852167,-0.508978197527242,0.10353074292659,0.815846372814586,0.601109480269177,1.10907988920258,FALSE
"climate_sum_only","speciesmellifera:sum_rain_z",-0.31502429545596,0.12220704745689,-0.552292196466178,-0.0772661586974272,0.729771143930986,0.57562884260119,0.925643452761417,TRUE
"climate_sum_only","speciesmellifera:sum_sun_z",-0.0573312524907712,0.183364566613074,-0.4103245595083,0.294983180379047,0.944281222046866,0.663434891087756,1.34310376800002,FALSE
"climate_sum_only","sum_rain_z",0.0181945820493539,0.0529851482483685,-0.0846313135448568,0.121607254827444,1.0183611119045,0.918850989873822,1.12931048343085,FALSE
"climate_sum_only","sum_sun_z",-0.0918981211770075,0.0544780385229266,-0.19733002046439,0.0162188404268675,0.912198078477836,0.820919668312956,1.01635107977491,FALSE
"landcover","Intercept",1.66181286865653,0.0627525078683498,1.53420457896716,1.78295749084908,5.26885393180012,4.63763518988881,5.94741987376252,TRUE
"landcover","agri_z",0.0411239468652496,0.168119409989062,-0.288578774759999,0.363853319447495,1.04198124785124,0.749327774706866,1.43886314543743,FALSE
"landcover","forest_z",0.230048229164432,0.188423354598348,-0.138691067469722,0.596378093011722,1.25866071262012,0.870496911736259,1.81553119262667,FALSE
"landcover","speciesmellifera",1.40537299197243,0.150198829413068,1.11109707565471,1.70205796491247,4.07704716356046,3.03768914186476,5.4852241830325,TRUE
"landcover","speciesmellifera:agri_z",0.2473425891096,0.252511457297447,-0.236288479096413,0.752838701050567,1.28061776333481,0.789552871577311,2.12301808449044,FALSE
"landcover","speciesmellifera:forest_z",0.154200960036088,0.262931576755952,-0.367306293291386,0.671472045808993,1.16672532838505,0.692597474592759,1.95711616586974,FALSE
"landcover","speciesmellifera:water_z",-0.204958619347384,0.22961606640353,-0.657162964823115,0.246079688720209,0.814681027746513,0.518319741885682,1.27900149147283,FALSE
"landcover","water_z",0.274413155075463,0.0739013595385357,0.131138753230943,0.417566215616915,1.31575830217674,1.14012596649892,1.51826193322069,TRUE
