"model","focal_variable","value_label","focal_value_z","cerana_estimate","cerana_median","cerana_lower_95","cerana_upper_95","mellifera_estimate","mellifera_median","mellifera_lower_95","mellifera_upper_95","difference_estimate","difference_median","difference_lower_95","difference_upper_95","ratio_estimate","ratio_median","ratio_lower_95","ratio_upper_95","prob_mellifera_gt_cerana","ratio_credible_above_1","difference_credible_above_0"
"climate_sum_only","sum_sun_z","-1 SD",-1,9.65964667456543,8.49429466987231,3.63270544754368,24.2247506925338,42.2039435736692,35.6152783876501,12.9970219298544,115.032002098777,32.5442968991038,26.8670273568311,8.79851783040485,89.4075782450041,4.29545762723663,4.18384270677816,2.8468048992699,6.39687041893871,1,TRUE,TRUE
"climate_sum_only","sum_sun_z","mean",0,8.83933419823235,7.78187219248874,3.36986627233392,22.2603213749546,35.9925874993932,30.9070640163955,11.1870672980941,93.5975967337573,27.1532533011609,23.0975806327031,7.72313625415266,73.6642264317397,4.00579787793345,3.95528111305779,2.94030096428587,5.40087736784074,1,TRUE,TRUE
"climate_sum_only","sum_sun_z","+1 SD",1,8.11839811180752,7.14153243624384,3.18820755830857,20.3123181424201,31.7211990298887,26.2401957919814,9.03803779902453,84.0424377641176,23.6028009180811,19.0168035110847,5.34625212676681,66.2390320547398,3.85632816347814,3.74469017479821,2.2538964205728,6.23041199528613,1,TRUE,TRUE
"climate_sum_only","sum_sun_z","upper 10% cutoff",1.36334461105312,7.87850249654708,6.90025264755194,3.12103313412531,19.3875519298281,30.5413166177205,24.7772514128376,8.17237849251343,79.6511976742619,22.6628141211734,17.8375878430142,4.44538063415835,65.5251945353411,3.83262545187624,3.67829482871778,1.97856463872507,6.72197631569524,1,TRUE,TRUE
"climate_ratio_only","ratio_sun_z","-1 SD",-1,9.64689428413371,8.47589973625371,3.46438533280899,23.5552194392853,42.9537540512203,35.7296857648143,12.7235772483171,118.396189232178,33.3068597670866,27.0122085221214,9.30652255232825,91.6651784135152,4.37988614803379,4.30324794007965,2.92841691299145,6.43370950610948,1,TRUE,TRUE
"climate_ratio_only","ratio_sun_z","mean",0,8.89135152041824,7.78965701723184,3.21006465451294,21.5542948210363,36.3089511530727,30.4473115092905,11.2114604941291,94.720017185523,27.4175996326544,22.8601378602203,7.5986664519871,76.6875000750951,4.00004685168456,3.92659803196675,2.92462236841948,5.34859238688768,1,TRUE,TRUE
"climate_ratio_only","ratio_sun_z","+1 SD",1,8.22327913122436,7.18281114330877,2.97613466353151,19.216363285531,31.5785489518333,25.6901735525516,8.8239792819822,83.4569146202242,23.355269820609,18.6405292891746,5.39245122617909,66.9438253322203,3.75461468141826,3.64423285357966,2.20785247463435,5.93515393655678,1,TRUE,TRUE
"climate_ratio_only","ratio_sun_z","upper 10% cutoff",1.26734351328872,8.05807032616823,7.04130590133122,2.9383916486918,18.9262054479766,30.5687776220687,24.8741704819178,8.32173103079072,83.7253513625024,22.5107072959005,17.7621613651884,4.62934877382325,66.6956401744243,3.70864246459591,3.57369023341404,2.02659506053291,6.14569040205941,1,TRUE,TRUE
