index,Latitude,Longitude,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5
144,36.4593809,128.2678457,,,,,
145,36.4220469,129.1244183,,,,,
146,36.6728078,128.2986089,,,,,
147,36.2342795,128.5875878,93.0,,,,
148,37.1890654,129.0362358,11.0,36.0,,,
149,37.2496686,129.0177973,36.0,,,,
150,37.831802,126.8173464,,,,,
151,36.2104078,128.1780511,,,,,
152,36.0793691,127.9792429,,,,,
153,37.8624543,128.2199006,,,,,
154,37.2625905,128.9111959,116.0,155.0,,,
155,37.2625905,128.9111959,116.0,154.0,,,
156,33.2874612,126.5731538,,,,,
157,37.1536019,127.339438,,,,,
158,37.9220961,128.4038892,,,,,
159,37.2848222,127.0352449,,,,,
