,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5,nearby_idx_6,nearby_idx_7,nearby_idx_8,nearby_idx_9,nearby_idx_10,nearby_idx_11,nearby_idx_12,nearby_idx_13,nearby_idx_14,nearby_idx_15,nearby_idx_16,nearby_idx_17,nearby_idx_18,nearby_idx_19,nearby_idx_20,nearby_idx_21,nearby_idx_22,nearby_idx_23,nearby_idx_24,nearby_idx_25,nearby_idx_26,nearby_idx_27,nearby_idx_28
50,10.0,54.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,335.0,573.0,,,
51,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,671.0,644.0,658.0,676.0,,,,,,,,,,,,,,,,,,,,,,,,
53,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,10.0,50.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,335.0,573.0,,,
55,170.0,255.0,265.0,595.0,619.0,673.0,,,,,,,,,,,,,,,,,,,,,,
56,184.0,189.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,913.0,514.0,946.0,44.0,58.0,133.0,200.0,413.0,1073.0,,,,,,,,,,,,,,,,,,,
58,913.0,514.0,946.0,44.0,57.0,133.0,200.0,413.0,1073.0,,,,,,,,,,,,,,,,,,,
59,541.0,899.0,273.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,
60,929.0,973.0,254.0,253.0,935.0,95.0,799.0,1002.0,1099.0,,,,,,,,,,,,,,,,,,,
61,10.0,753.0,558.0,568.0,54.0,102.0,50.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,573.0
62,264.0,395.0,411.0,480.0,607.0,531.0,569.0,459.0,503.0,505.0,635.0,24.0,41.0,42.0,93.0,94.0,542.0,868.0,,,,,,,,,,
63,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,333.0,170.0,255.0,91.0,572.0,1004.0,,,,,,,,,,,,,,,,,,,,,,
65,116.0,123.0,32.0,991.0,1055.0,89.0,74.0,,,,,,,,,,,,,,,,,,,,,
66,126.0,136.0,367.0,802.0,334.0,,,,,,,,,,,,,,,,,,,,,,,
67,456.0,470.0,983.0,984.0,,,,,,,,,,,,,,,,,,,,,,,,
68,285.0,623.0,206.0,901.0,,,,,,,,,,,,,,,,,,,,,,,,
69,12.0,139.0,317.0,7.0,683.0,758.0,496.0,649.0,1080.0,13.0,,,,,,,,,,,,,,,,,,
70,142.0,837.0,361.0,846.0,672.0,689.0,954.0,1047.0,,,,,,,,,,,,,,,,,,,,
71,586.0,882.0,226.0,357.0,669.0,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,46.0,149.0,31.0,202.0,203.0,403.0,439.0,716.0,744.0,815.0,919.0,920.0,939.0,940.0,,,,,,,,,,,,,,
74,116.0,123.0,32.0,991.0,1055.0,65.0,89.0,,,,,,,,,,,,,,,,,,,,,
75,719.0,773.0,767.0,,,,,,,,,,,,,,,,,,,,,,,,,
76,441.0,318.0,452.0,256.0,995.0,1076.0,227.0,1041.0,,,,,,,,,,,,,,,,,,,,
77,117.0,151.0,160.0,83.0,489.0,,,,,,,,,,,,,,,,,,,,,,,
78,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,210.0,218.0,418.0,135.0,591.0,547.0,546.0,101.0,14.0,3.0,,,,,,,,,,,,,,,,,,
80,324.0,82.0,2.0,371.0,599.0,768.0,785.0,1100.0,1104.0,1105.0,1106.0,1115.0,1119.0,1148.0,555.0,1015.0,469.0,1156.0,164.0,271.0,497.0,,,,,,,
81,588.0,583.0,579.0,863.0,601.0,1137.0,590.0,199.0,513.0,511.0,598.0,,,,,,,,,,,,,,,,,
82,324.0,80.0,2.0,371.0,599.0,768.0,785.0,1100.0,1104.0,1105.0,1106.0,1115.0,1119.0,1148.0,555.0,1015.0,469.0,1156.0,164.0,271.0,497.0,,,,,,,
83,117.0,151.0,160.0,77.0,489.0,,,,,,,,,,,,,,,,,,,,,,,
84,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,110.0,1083.0,763.0,722.0,,,,,,,,,,,,,,,,,,,,,,,,
87,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,10.0,753.0,558.0,568.0,54.0,102.0,50.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,573.0
89,116.0,123.0,32.0,991.0,1055.0,65.0,74.0,,,,,,,,,,,,,,,,,,,,,
90,259.0,113.0,1110.0,23.0,169.0,440.0,685.0,720.0,696.0,732.0,760.0,,,,,,,,,,,,,,,,,
91,64.0,333.0,170.0,255.0,572.0,1004.0,,,,,,,,,,,,,,,,,,,,,,
92,741.0,1032.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,62.0,607.0,531.0,569.0,459.0,503.0,505.0,635.0,24.0,41.0,42.0,94.0,542.0,868.0,,,,,,,,,,,,,,
94,62.0,607.0,531.0,569.0,459.0,503.0,505.0,635.0,24.0,41.0,42.0,93.0,542.0,868.0,,,,,,,,,,,,,,
95,1091.0,606.0,973.0,254.0,620.0,617.0,1092.0,253.0,935.0,448.0,60.0,799.0,1002.0,1099.0,,,,,,,,,,,,,,
96,724.0,932.0,641.0,670.0,,,,,,,,,,,,,,,,,,,,,,,,
97,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,639.0,43.0,18.0,1090.0,,,,,,,,,,,,,,,,,,,,,,,,
100,537.0,594.0,596.0,,,,,,,,,,,,,,,,,,,,,,,,,
101,79.0,210.0,218.0,140.0,174.0,418.0,135.0,591.0,27.0,547.0,546.0,14.0,3.0,,,,,,,,,,,,,,,
102,753.0,558.0,568.0,348.0,1062.0,25.0,690.0,521.0,571.0,926.0,794.0,309.0,466.0,299.0,408.0,266.0,407.0,310.0,298.0,520.0,134.0,1124.0,552.0,61.0,587.0,28.0,721.0,88.0
103,401.0,314.0,345.0,492.0,49.0,158.0,1075.0,,,,,,,,,,,,,,,,,,,,,
104,969.0,238.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,343.0,915.0,548.0,1056.0,276.0,,,,,,,,,,,,,,,,,,,,,,,
107,33.0,154.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,
108,1129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,654.0,8.0,111.0,874.0,,,,,,,,,,,,,,,,,,,,,,,,
110,86.0,1083.0,763.0,722.0,,,,,,,,,,,,,,,,,,,,,,,,
111,654.0,8.0,109.0,874.0,,,,,,,,,,,,,,,,,,,,,,,,
112,104.0,238.0,975.0,305.0,152.0,356.0,370.0,988.0,1082.0,,,,,,,,,,,,,,,,,,,
113,990.0,259.0,1110.0,23.0,169.0,440.0,685.0,720.0,90.0,696.0,732.0,760.0,,,,,,,,,,,,,,,,
