"model","elpd_loo","elpd_loo_se","LOOIC","LOOIC_se","WAIC","WAIC_se","pareto_k_over_0_7","pareto_k_over_1"
"Zero-truncated Poisson CAR",-3270.95853181326,37.2549095194843,6541.91706362653,74.5098190389687,6021.63919634542,66.3643405485562,873,122
"Zero-truncated Negative-binomial CAR",-3928.16007212422,56.2932400878961,7856.32014424844,112.586480175792,7627.47154910753,106.87603168061,333,29
