"model","term","mean","sd","0.025quant","0.975quant","IRR","IRR_lower","IRR_upper"
"Zero-truncated Poisson CAR","Intercept",1.44141864701135,0.0574440129884482,1.3294964648965,1.55555035332293,4.22668774371269,3.77913997875208,4.73769321299679
"Zero-truncated Poisson CAR","speciesmellifera",1.383276404976,0.171850597988758,1.02911263935964,1.71195517299649,3.98794637323169,2.79858138159227,5.53978212847884
"Zero-truncated Poisson CAR","mean_temp_z",0.0537805028362068,0.0792648567896012,-0.0969498266941156,0.207572615586892,1.05525295170272,0.907601542360718,1.23068708066009
"Zero-truncated Poisson CAR","sum_sun_z",0.0860535495626991,0.488572004332025,-0.857465148678497,1.06747053018645,1.08986468852,0.424236095938658,2.90801445429406
"Zero-truncated Poisson CAR","ratio_sun_z",-0.191855857563493,0.468154460007199,-1.12075017602466,0.724119786086372,0.825425838808702,0.3260351191301,2.06291449454237
"Zero-truncated Poisson CAR","sum_rain_z",-0.0180972851276659,0.0596201204488955,-0.137991926129381,0.0955618692025814,0.982065487344509,0.871105724912324,1.10027689318216
"Zero-truncated Poisson CAR","forest_z",0.170557328195919,0.209035767323695,-0.258919473387555,0.579761871302504,1.18596563925554,0.77188517783968,1.78561317437976
"Zero-truncated Poisson CAR","agri_z",-0.0433267720568647,0.186916132197677,-0.42175005930314,0.316499649619906,0.957598422529112,0.655897954499877,1.37231576140401
"Zero-truncated Poisson CAR","water_z",0.257654972675811,0.073614059284223,0.113896598633351,0.404101100508653,1.29389231339774,1.12063624357401,1.49795538335406
"Zero-truncated Poisson CAR","speciesmellifera:mean_temp_z",-0.528355775484392,0.195505215217693,-0.905473772214531,-0.14778141969221,0.58957356447495,0.404350269792832,0.862619646004436
"Zero-truncated Poisson CAR","speciesmellifera:sum_sun_z",1.89927309086481,1.45553162645072,-0.908781870471951,4.7380886401086,6.68103617050723,0.403014849438666,114.21568563479
"Zero-truncated Poisson CAR","speciesmellifera:ratio_sun_z",-1.94635223415974,1.40549756081273,-4.6746649480729,0.750174214597407,0.142794001800113,0.00932865019639618,2.11736886104639
"Zero-truncated Poisson CAR","speciesmellifera:sum_rain_z",-0.297924708033303,0.128540571153625,-0.548249816163165,-0.05818596010716,0.742357231179587,0.577960462769036,0.943474482506696
"Zero-truncated Poisson CAR","speciesmellifera:forest_z",0.176928411894662,0.300096596375173,-0.39328622443685,0.780312553693522,1.19354564639723,0.674835565511032,2.18215419927701
"Zero-truncated Poisson CAR","speciesmellifera:agri_z",0.514916736307139,0.286470395756939,-0.0424135436967218,1.06680971369982,1.67349915427673,0.958473327999633,2.90609342519306
"Zero-truncated Poisson CAR","speciesmellifera:water_z",0.261487414789647,0.270552574078812,-0.241296544449698,0.810514470383413,1.29886059503524,0.785608623965193,2.24906476629917
"Zero-truncated Negative-binomial CAR","Intercept",1.66379355367265,0.0644758702340086,1.53917375211327,1.79080492796663,5.2793002138169,4.66073775492007,5.99427548500898
"Zero-truncated Negative-binomial CAR","speciesmellifera",1.44439276975955,0.164368985694184,1.13492225072178,1.76866620870298,4.23927714381156,3.11093166081095,5.86302808806391
"Zero-truncated Negative-binomial CAR","mean_temp_z",0.0674914757810764,0.0730614562167717,-0.0760023302103421,0.20896887190356,1.06982114016943,0.926814046885189,1.23240663546057
"Zero-truncated Negative-binomial CAR","sum_sun_z",-0.00675401482583783,0.451518462609877,-0.870469954956025,0.856607070400141,0.993268742269553,0.418754707147819,2.35515624278704
"Zero-truncated Negative-binomial CAR","ratio_sun_z",-0.0863007954427678,0.438576575063421,-0.928754689914959,0.767680326242123,0.917318264563927,0.395045358149648,2.15476210692084
"Zero-truncated Negative-binomial CAR","sum_rain_z",-0.0145955140840081,0.0581346879289438,-0.127775505233518,0.101422425659011,0.985510484105693,0.880050923796574,1.10674406012067
"Zero-truncated Negative-binomial CAR","forest_z",0.201844696373017,0.187030037807652,-0.175188535329513,0.568834257947428,1.22365795483519,0.839298768381736,1.76620690920222
"Zero-truncated Negative-binomial CAR","agri_z",0.00266616404241678,0.173606311026024,-0.340580490863687,0.344063308169883,1.00266972141858,0.711357266492497,1.41066793948637
"Zero-truncated Negative-binomial CAR","water_z",0.259903674955449,0.0735305224128704,0.114857549822952,0.40071873024574,1.29680516583399,1.12171363788415,1.49289730258344
"Zero-truncated Negative-binomial CAR","speciesmellifera:mean_temp_z",-0.422659634115077,0.18080726439904,-0.765414265660906,-0.0680575972487893,0.655301637479846,0.465141199029726,0.934206664293931
"Zero-truncated Negative-binomial CAR","speciesmellifera:sum_sun_z",2.29379471571326,1.36352029710984,-0.372401717108555,4.95304430778211,9.91248145127446,0.689077372746532,141.605398818504
"Zero-truncated Negative-binomial CAR","speciesmellifera:ratio_sun_z",-2.34116302314669,1.31446438021763,-4.92632759127725,0.228058248864402,0.0962156720797977,0.00725309074519782,1.25615849310709
"Zero-truncated Negative-binomial CAR","speciesmellifera:sum_rain_z",-0.354734069575987,0.126798013593143,-0.599482890625566,-0.0967391239002395,0.701359931354969,0.549095505125192,0.907792796689622
"Zero-truncated Negative-binomial CAR","speciesmellifera:forest_z",0.150927713260507,0.257472300531697,-0.343883354105686,0.650133799857747,1.16291259188384,0.709011626521453,1.91579714525148
"Zero-truncated Negative-binomial CAR","speciesmellifera:agri_z",0.424490554332025,0.255284343690448,-0.0763130563642595,0.912076674134563,1.52881137490764,0.926526106258662,2.48948702235612
"Zero-truncated Negative-binomial CAR","speciesmellifera:water_z",0.143084966789219,0.242123049324208,-0.32987378526901,0.619076676832839,1.1538278345476,0.719014477924069,1.85721244266734
