"model","elpd_diff","se_diff","p_worse","diag_diff","diag_elpd","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Zero_truncated_Poisson_CAR",0,0,NA,"","873 k_psis > 0.7",-3270.95853181326,37.2549095194843,828.696880158109,13.0926356169658,6541.91706362653,74.5098190389687
"Zero_truncated_NB_CAR",-657.201540310955,25.0322486991326,1,"","333 k_psis > 0.7",-3928.16007212422,56.2932400878961,588.629489395089,16.1459200789877,7856.32014424844,112.586480175792
