model,response,predictors,n,moran_y_I,moran_y_p,moran_ols_resid_I,moran_ols_resid_p,moran_car_resid_I,moran_car_resid_p,lambda,lr_stat,lr_p,logLik_ols,logLik_car,AIC_ols,AIC_car
climate_only,response,"sum_sun, sum_rain, mean_temp, ratio_sun",222,0.18308765995005286,3.7397984078844286e-6,0.014320985182098763,0.32136659416204505,-0.0938328590401874,0.9854366165610668,0.055751521973290245,1.1549671747807224,0.28251175483679214,-1522.8032980357966,-1522.2258144484063,3057.6065960715932,3058.4516288968125
landcover_only,response,"forest, agri, urban, water",29,-0.029761904761904764,0.3331688621426206,-0.07133710430151163,0.8560392732781062,-0.028869205990621784,0.4208066861252828,-0.027178039382035085,0.03643130581475518,0.8486275494167014,8.55226744562659,8.570483098533968,-5.104534891253181,-3.140966197067936
final_combined,response,"sum_sun, sum_rain, water",22,-0.03968253968253969,0.3445675439699828,-0.27674139088051675,0.9860434735817902,-0.16494168180088215,0.8648784175146671,-0.21627928639593907,1.667811941224116,0.1965518633663871,5.962364488448932,6.79627045906099,-3.924728976897864,-3.59254091812198
