Latitude,Longitude,축종,발생두수,ID,종,카운트
36.9781712,128.9144704,벌-재래종,3,942,개옻나무,1
37.348768,128.1604644,벌-재래종,1,5175,산초나무,1
37.5570387,128.1853633,벌-재래종,7,7107,애기똥풀,1
36.8621052,127.0313115,벌-재래종,5,6459,아까시나무,2
37.2220583,128.8218722,벌-재래종,4,7650,족제비싸리,1
36.7551344,128.1698493,벌-재래종,2,2547,다래,1
34.8171423,127.1199466,벌-재래종,10,1961,굴참나무,1
37.8932509,127.8039512,벌-재래종,3,6098,신갈나무,1
36.8004842,128.7944095,벌-재래종,10,7574,족제비싸리,1
37.8932509,127.8039512,벌-재래종,2,6098,신갈나무,1
37.5933552,128.1664828,벌-재래종,3,7107,애기똥풀,1
37.5066872,127.4717254,벌-재래종,2,1450,고추,1
36.8581851,128.5151227,벌-재래종,2,234,갈참나무,1
36.9597995,128.5821026,벌-재래종,8,2367,누운주름잎,1
37.4250014,128.2967109,벌-재래종,1,652,개다래,1
37.0603106,128.3768758,벌-재래종,1,269,갈참나무,1
34.7326998,127.1538776,벌-재래종,1,1474,광대싸리,1
35.5798635,127.1981911,벌-재래종,1,100,갈참나무,1
36.0555481,128.2571982,벌-재래종,1,1599,광대싸리,1
36.3667465,128.8419833,벌-재래종,3,7397,유채,1
37.2534286,128.726245,벌-재래종,2,1760,광대싸리,1
37.4250014,128.2967109,벌-재래종,1,652,개다래,1
35.9213983,129.1566704,벌-재래종,10,6790,애기똥풀,1
37.2534286,128.726245,벌-재래종,3,1760,광대싸리,1
37.5019304,128.7080385,벌-재래종,5,2650,다래,1
34.8114222,126.9428825,벌-재래종,1,2803,떡갈나무,1
37.2534286,128.726245,벌-재래종,6,1760,광대싸리,1
37.4146192,128.8668205,벌-재래종,13,5946,신갈나무,1
37.7014855,127.8674722,벌-재래종,3,3659,밤나무,2
37.4048732,128.1453026,벌-재래종,1,6584,아까시나무,2
37.7120915,127.7440552,벌-재래종,2,4340,붉나무,1
37.8140141,128.1452309,벌-재래종,4,1167,개옻나무,1
37.0060873,128.9653695,벌-재래종,127,1707,광대싸리,1
36.4785066,129.1679121,벌-재래종,100,2536,다래,1
37.5019304,128.7080385,벌-재래종,17,2650,다래,1
36.4571359,129.3230741,벌-재래종,141,1669,광대싸리,1
37.3873252,128.6859393,벌-재래종,9,7664,족제비싸리,1
37.4515774,127.654413,벌-재래종,4,5986,신갈나무,1
36.5095472,129.0923238,벌-재래종,3,2536,다래,1
35.2075729,128.3702795,벌-재래종,31,8353,주름잎,1
36.9395486,128.7902001,벌-재래종,15,3006,떡갈나무,1
35.0286639,126.7526792,벌-재래종,1,4556,산검양옻나무,1
37.2597658,128.8729253,벌-재래종,1,6549,아까시나무,1
35.0160601,127.0127779,벌-재래종,1,6717,애기똥풀,1
35.0160601,127.0127779,벌-재래종,1,6717,애기똥풀,1
36.8561157,128.8395425,벌-재래종,32,7574,족제비싸리,1
37.4048732,128.1453026,벌-재래종,6,6584,아까시나무,2
37.9429407,127.4806675,벌-재래종,3,1886,광대싸리,1
37.3852166,128.3913906,벌-재래종,15,6574,아까시나무,1
37.0603106,128.3768758,벌-재래종,1,269,갈참나무,1
37.6011843,128.2265769,벌-재래종,7,670,개다래,1
37.9831858,127.7035317,벌-재래종,3,1892,광대싸리,1
36.7551344,128.1698493,벌-재래종,1,2547,다래,1
38.1886627,128.3651816,벌-재래종,5,7236,애기똥풀,1
36.7551344,128.1698493,벌-재래종,2,2547,다래,1
37.8107051,128.2724166,벌-재래종,1,7170,애기똥풀,1
37.348768,128.1604644,벌-재래종,2,5175,산초나무,1
37.8173563,128.0004157,벌-재래종,5,682,개다래,4
37.0603106,128.3768758,벌-재래종,1,269,갈참나무,1
36.7877626,129.2030091,벌-재래종,11,596,개다래,1
34.7128412,127.1870253,벌-재래종,1,1953,굴참나무,1
37.25075,128.6692609,벌-재래종,18,5124,산초나무,1
38.1681838,128.1786506,벌-재래종,7,6151,신갈나무,1
37.3909559,127.8008094,벌-재래종,1,4246,붉나무,1
34.7168052,127.1320597,벌-재래종,1,1474,광대싸리,1
36.8428925,128.5079335,벌-재래종,7,234,갈참나무,1
36.8581851,128.5151227,벌-재래종,7,234,갈참나무,1
37.497971,127.5050639,벌-재래종,2,3739,벼,1
36.6536828,128.9347622,벌-재래종,35,3440,밤나무,1
37.4358067,128.3992554,벌-재래종,1,3598,밤나무,1
37.9529831,128.1965588,벌-재래종,9,723,개다래,1
37.4358067,128.3992554,벌-재래종,1,3598,밤나무,1
36.5095472,129.0923238,벌-재래종,2,2536,다래,1
35.1414667,126.5323581,벌-재래종,1,469,감나무,1
38.0019958,128.6187189,벌-재래종,7,2332,굴참나무,1
35.8869663,127.8205443,벌-재래종,1,3995,붉나무,1
36.9256095,128.9603713,벌-재래종,65,3004,떡갈나무,1
37.5631941,128.3127372,벌-재래종,1,7097,애기똥풀,1
36.3321473,128.8067483,벌-재래종,1,2535,다래,1
37.2237462,128.6427344,벌-재래종,5,5124,산초나무,1
38.1700928,127.7093384,벌-재래종,5,2746,다래,1
37.5893415,127.4947634,벌-재래종,2,4310,붉나무,1
36.9796571,128.3675653,벌-재래종,2,5000,산초나무,1
35.7070291,127.1532238,벌-재래종,20,3961,붉나무,1
37.5558764,127.5817911,벌-재래종,4,2672,다래,1
36.3351104,128.9174135,벌-재래종,9,5774,신갈나무,1
34.7040567,127.1445908,벌-재래종,1,1474,광대싸리,1
36.9796571,128.3675653,벌-재래종,1,5000,산초나무,1
35.8869663,127.8205443,벌-재래종,13,3995,붉나무,1
35.8869663,127.8205443,벌-재래종,3,3995,붉나무,1
37.7979718,126.3953013,벌-재래종,26,402,갈참나무,1
37.1919741,128.5989961,벌-재래종,2,1756,광대싸리,1
37.5690079,128.3547193,벌-재래종,2,7097,애기똥풀,1
37.3628576,128.4182448,벌-재래종,7,6574,아까시나무,1
38.0087006,128.1617215,벌-재래종,2,6131,신갈나무,1
37.6147161,127.8863288,벌-재래종,4,3659,밤나무,2
37.9993658,128.3250403,벌-재래종,3,7214,애기똥풀,1
38.0466608,128.3851271,벌-재래종,3,7214,애기똥풀,1
37.8140141,128.1452309,벌-재래종,3,1167,개옻나무,1
37.3411588,126.7220994,벌-재래종,2,7675,족제비싸리,1
37.9429407,127.4806675,벌-재래종,3,1886,광대싸리,1
37.9429407,127.4806675,벌-재래종,6,1886,광대싸리,1
35.5646226,127.1343061,벌-재래종,4,100,갈참나무,1
36.3321473,128.8067483,벌-재래종,3,2535,다래,1
37.7267059,126.9116461,벌-재래종,10,5246,산초나무,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
34.3936351,126.5418454,벌-재래종,1,2774,떡갈나무,2
37.6020683,127.9591221,벌-재래종,4,4321,붉나무,1
36.4785066,129.1679121,벌-재래종,75,2536,다래,1
36.9635809,127.9320017,벌-재래종,4,4143,붉나무,2
36.3231567,128.8736824,벌-재래종,2,5774,신갈나무,1
36.3321473,128.8067483,벌-재래종,2,2535,다래,1
35.2867911,126.5237272,벌-재래종,1,776,개옻나무,1
35.0878407,127.6114145,벌-재래종,1,7452,족제비싸리,1
35.0878407,127.6114145,벌-재래종,1,7452,족제비싸리,1
35.1849378,127.3547925,벌-재래종,1,65,갈참나무,1
36.4785066,129.1679121,벌-재래종,13,2536,다래,1
37.3411588,126.7220994,벌-재래종,5,7675,족제비싸리,1
37.5558764,127.5817911,벌-재래종,3,2672,다래,1
37.2772238,128.1975847,벌-재래종,1,641,개다래,1
35.121549,127.3677518,벌-재래종,1,65,갈참나무,1
36.3231567,128.8736824,벌-재래종,2,5774,신갈나무,1
