Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19
36.4345714,126.8771037,벌-개량종,100,1651,4919.0,2120.0,6887.0,1651.0,8011.0,8451.0,,,,,,,,,,,,,
36.4345714,126.8771037,벌-개량종,100,1651,4919.0,2120.0,6887.0,1651.0,8011.0,8451.0,,,,,,,,,,,,,
36.5938136,128.5571271,벌-개량종,1,3427,,,,,,,,,,,,,,,,,,,
35.0436072,127.112621,벌-개량종,1,8719,,,,,,,,,,,,,,,,,,,
35.6305091,127.3303778,벌-개량종,100,8383,,,,,,,,,,,,,,,,,,,
37.4493679,127.1022852,벌-개량종,20,1097,,,,,,,,,,,,,,,,,,,
35.4931652,127.2389306,벌-개량종,90,100,,,,,,,,,,,,,,,,,,,
35.5798635,127.1981911,벌-개량종,50,100,,,,,,,,,,,,,,,,,,,
37.3293308,126.918427,벌-개량종,2,5150,5150.0,,,,,,,,,,,,,,,,,,
36.6389298,128.2201196,벌-개량종,1,2364,,,,,,,,,,,,,,,,,,,
36.6839838,126.5831038,벌-개량종,50,2139,3444.0,2139.0,,,,,,,,,,,,,,,,,
35.3363846,127.9217038,벌-개량종,3,2008,,,,,,,,,,,,,,,,,,,
37.4531546,129.1559572,벌-개량종,70,1428,,,,,,,,,,,,,,,,,,,
37.4579607,129.1460745,벌-개량종,200,356,,,,,,,,,,,,,,,,,,,
37.6506105,126.8479415,벌-개량종,20,387,,,,,,,,,,,,,,,,,,,
36.29654,126.8670582,벌-개량종,9,2113,,,,,,,,,,,,,,,,,,,
36.9395457,127.997495,벌-개량종,80,4143,,,,,,,,,,,,,,,,,,,
36.0675456,128.2714806,벌-개량종,300,1599,,,,,,,,,,,,,,,,,,,
35.1077764,127.2000409,벌-개량종,1,7847,,,,,,,,,,,,,,,,,,,
38.2355632,127.9878123,벌-개량종,1,6146,,,,,,,,,,,,,,,,,,,
36.6389298,128.2201196,벌-개량종,5,2364,,,,,,,,,,,,,,,,,,,
35.200009,126.9515173,벌-개량종,1,562,,,,,,,,,,,,,,,,,,,
35.200009,126.9515173,벌-개량종,1,562,,,,,,,,,,,,,,,,,,,
36.8308912,128.6942083,벌-개량종,2,241,6925.0,241.0,7579.0,4986.0,5823.0,8059.0,8860.0,2992.0,1692.0,,,,,,,,,,
35.6634688,128.4027436,벌-개량종,30,7480,,,,,,,,,,,,,,,,,,,
37.4358164,129.1399179,벌-개량종,60,1428,,,,,,,,,,,,,,,,,,,
36.955982,127.6337621,벌-개량종,250,5843,,,,,,,,,,,,,,,,,,,
36.6389298,128.2201196,벌-개량종,140,2364,,,,,,,,,,,,,,,,,,,
36.5789495,128.7192854,벌-개량종,1,1663,,,,,,,,,,,,,,,,,,,
35.2495331,127.1779403,벌-개량종,100,3307,,,,,,,,,,,,,,,,,,,
34.8780837,126.9078796,벌-개량종,1,8332,41.0,553.0,8707.0,1969.0,8332.0,2805.0,1971.0,5390.0,5659.0,46.0,7822.0,4707.0,8711.0,2803.0,6226.0,7819.0,4704.0,,
36.527337,128.1444098,벌-개량종,200,3442,,,,,,,,,,,,,,,,,,,
35.6192242,127.248168,벌-개량종,140,100,,,,,,,,,,,,,,,,,,,
35.6192242,127.248168,벌-개량종,140,100,,,,,,,,,,,,,,,,,,,
36.6839838,126.5831038,벌-개량종,50,2139,3444.0,2139.0,,,,,,,,,,,,,,,,,
37.7016228,128.8379164,벌-개량종,20,6616,,,,,,,,,,,,,,,,,,,
36.6839838,126.5831038,벌-개량종,50,2139,3444.0,2139.0,,,,,,,,,,,,,,,,,
37.3910274,128.9927715,벌-개량종,60,1093,,,,,,,,,,,,,,,,,,,
36.2348288,128.5647509,벌-개량종,30,8431,8431.0,,,,,,,,,,,,,,,,,,
37.8315284,128.8219993,벌-개량종,120,6616,,,,,,,,,,,,,,,,,,,
37.3737093,128.0116955,벌-개량종,5,3079,,,,,,,,,,,,,,,,,,,
37.178741,127.5891868,벌-개량종,68,302,,,,,,,,,,,,,,,,,,,
35.7072023,127.9379667,벌-개량종,300,7915,117.0,1289.0,3332.0,4793.0,2874.0,7915.0,2035.0,6302.0,2487.0,8385.0,814.0,,,,,,,,
37.5379354,129.0927233,벌-개량종,300,2646,,,,,,,,,,,,,,,,,,,
34.9916145,126.9880128,벌-개량종,10,6717,,,,,,,,,,,,,,,,,,,
33.4790176,126.3976001,벌-개량종,1,547,547.0,3767.0,8280.0,4482.0,,,,,,,,,,,,,,,
35.6128908,127.3454045,벌-개량종,50,100,,,,,,,,,,,,,,,,,,,
35.5990812,127.314855,벌-개량종,20,100,,,,,,,,,,,,,,,,,,,
35.433975,127.6260086,벌-개량종,80,4575,7387.0,475.0,8766.0,6740.0,4575.0,1278.0,2014.0,2847.0,90.0,1540.0,565.0,,,,,,,,
35.2480059,126.9756866,벌-개량종,10,562,,,,,,,,,,,,,,,,,,,
33.4778131,126.4518312,벌-개량종,1,547,,,,,,,,,,,,,,,,,,,
35.0389006,126.9988465,벌-개량종,1,6717,,,,,,,,,,,,,,,,,,,
37.1519766,129.2868795,벌-개량종,35,8872,,,,,,,,,,,,,,,,,,,
33.4242628,126.4714854,벌-개량종,2,4628,4628.0,7414.0,5341.0,7760.0,,,,,,,,,,,,,,,
37.6110372,128.0775996,벌-개량종,62,8213,,,,,,,,,,,,,,,,,,,
37.4945468,127.4887109,벌-개량종,2,3739,8537.0,1450.0,3739.0,,,,,,,,,,,,,,,,
37.429998,128.5534602,벌-개량종,15,653,,,,,,,,,,,,,,,,,,,
35.9159246,126.6388464,벌-개량종,70,3347,,,,,,,,,,,,,,,,,,,
37.9307358,127.0322857,벌-개량종,2,1895,,,,,,,,,,,,,,,,,,,
37.5126288,126.7989122,벌-개량종,10,358,,,,,,,,,,,,,,,,,,,
36.9836032,128.468242,벌-개량종,1,260,,,,,,,,,,,,,,,,,,,
37.2672498,128.9539575,벌-개량종,80,1058,2239.0,3080.0,2618.0,8160.0,5947.0,644.0,7655.0,5569.0,4240.0,329.0,5138.0,1058.0,,,,,,,
37.2761431,128.4221375,벌-개량종,200,6544,,,,,,,,,,,,,,,,,,,
35.5363475,126.8081715,벌-개량종,120,805,,,,,,,,,,,,,,,,,,,
35.4196814,127.6117698,벌-개량종,16,475,7387.0,475.0,8766.0,6740.0,4575.0,,,,,,,,,,,,,,
35.9429234,128.9490738,벌-개량종,250,835,,,,,,,,,,,,,,,,,,,
37.4261432,126.9184737,벌-개량종,2,5184,,,,,,,,,,,,,,,,,,,
37.3312441,126.7691931,벌-개량종,2,3591,,,,,,,,,,,,,,,,,,,
35.4758135,126.7550335,벌-개량종,1,1273,,,,,,,,,,,,,,,,,,,
37.2807191,127.5134139,벌-개량종,1,7046,,,,,,,,,,,,,,,,,,,
36.7563769,128.4246026,벌-개량종,70,234,,,,,,,,,,,,,,,,,,,
38.1175251,127.7190584,벌-개량종,8,5308,,,,,,,,,,,,,,,,,,,
38.1933008,127.5902416,벌-개량종,10,7225,,,,,,,,,,,,,,,,,,,
