ID,종,Nearby_Count,Same_Species_Count,Same_Species_Rate
6692,아까시나무,7,0,0.0
5621,상수리나무,1,0,0.0
648,개다래,21,14,0.6666666666666666
2743,다래,10,10,1.0
718,개다래,6,6,1.0
5984,신갈나무,6,4,0.6666666666666666
8911,피마자,0,0,
6983,애기똥풀,10,4,0.4
629,개다래,9,4,0.4444444444444444
4266,붉나무,5,3,0.6
1162,개옻나무,25,11,0.44
397,갈참나무,10,0,0.0
947,개옻나무,10,0,0.0
6983,애기똥풀,10,4,0.4
2743,다래,10,10,1.0
2158,굴참나무,8,2,0.25
5984,신갈나무,6,4,0.6666666666666666
3597,밤나무,5,4,0.8
7719,족제비싸리,4,4,1.0
1310,고욤나무,10,0,0.0
1162,개옻나무,25,11,0.44
718,개다래,7,6,0.8571428571428571
7551,족제비싸리,3,3,1.0
3738,벼,11,8,0.7272727272727273
6568,아까시나무,18,14,0.7777777777777778
1882,광대싸리,28,10,0.35714285714285715
2714,다래,14,11,0.7857142857142857
2743,다래,5,4,0.8
1891,광대싸리,13,9,0.6923076923076923
535,감나무,10,0,0.0
636,개다래,14,12,0.8571428571428571
1630,광대싸리,14,14,1.0
662,개다래,7,7,1.0
2623,다래,4,3,0.75
1925,광대싸리,5,5,1.0
1925,광대싸리,5,5,1.0
6983,애기똥풀,3,1,0.3333333333333333
3630,밤나무,7,1,0.14285714285714285
3704,밤나무,0,0,
5739,신갈나무,2,2,1.0
1178,개옻나무,0,0,
6568,아까시나무,18,14,0.7777777777777778
6568,아까시나무,18,14,0.7777777777777778
7719,족제비싸리,4,4,1.0
1048,개옻나무,9,7,0.7777777777777778
2714,다래,15,11,0.7333333333333333
1630,광대싸리,14,14,1.0
2305,굴참나무,2,2,1.0
3630,밤나무,7,1,0.14285714285714285
5203,산초나무,7,3,0.42857142857142855
1162,개옻나무,25,11,0.44
3704,밤나무,1,1,1.0
176,갈참나무,4,4,1.0
3001,떡갈나무,1,0,0.0
1162,개옻나무,25,11,0.44
8859,초피나무,6,4,0.6666666666666666
5230,산초나무,3,3,1.0
1048,개옻나무,9,7,0.7777777777777778
1048,개옻나무,9,7,0.7777777777777778
663,개다래,4,2,0.5
975,개옻나무,9,8,0.8888888888888888
1882,광대싸리,28,10,0.35714285714285715
6568,아까시나무,18,14,0.7777777777777778
802,개옻나무,1,1,1.0
3704,밤나무,6,6,1.0
662,개다래,7,7,1.0
2712,다래,5,5,1.0
2641,다래,4,4,1.0
4805,산초나무,4,4,1.0
5915,신갈나무,11,2,0.18181818181818182
3142,떡갈나무,8,7,0.875
3704,밤나무,5,5,1.0
6622,아까시나무,0,0,
1630,광대싸리,14,14,1.0
662,개다래,7,7,1.0
681,개다래,3,3,1.0
2678,다래,8,8,1.0
375,갈참나무,6,5,0.8333333333333334
5575,상수리나무,1,1,1.0
2743,다래,10,10,1.0
648,개다래,21,14,0.6666666666666666
7126,애기똥풀,11,11,1.0
648,개다래,21,14,0.6666666666666666
375,갈참나무,5,4,0.8
5575,상수리나무,1,1,1.0
805,개옻나무,0,0,
1164,개옻나무,4,0,0.0
7207,애기똥풀,1,1,1.0
2313,굴참나무,28,1,0.03571428571428571
662,개다래,7,7,1.0
6921,애기똥풀,11,0,0.0
3704,밤나무,6,6,1.0
8495,주름잎,2,2,1.0
1804,광대싸리,14,2,0.14285714285714285
1804,광대싸리,14,2,0.14285714285714285
975,개옻나무,14,9,0.6428571428571429
6910,애기똥풀,4,0,0.0
7704,족제비싸리,1,0,0.0
8484,주름잎,0,0,
7719,족제비싸리,4,4,1.0
6118,신갈나무,3,3,1.0
2743,다래,14,13,0.9285714285714286
1167,개옻나무,28,3,0.10714285714285714
5203,산초나무,7,3,0.42857142857142855
7082,애기똥풀,3,2,0.6666666666666666
6322,아까시나무,0,0,
7701,족제비싸리,5,2,0.4
2623,다래,3,3,1.0
2052,굴참나무,1,1,1.0
5936,신갈나무,4,1,0.25
7702,족제비싸리,4,3,0.75
5936,신갈나무,4,1,0.25
7082,애기똥풀,9,4,0.4444444444444444
1450,고추,12,1,0.08333333333333333
391,갈참나무,2,2,1.0
2375,누운주름잎,0,0,
662,개다래,7,7,1.0
375,갈참나무,5,4,0.8
1550,광대싸리,22,20,0.9090909090909091
176,갈참나무,5,5,1.0
1829,광대싸리,0,0,
