ID,종,Nearby_Count,Same_Species_Count,Same_Species_Rate
7407,유채,19,5,0.2631578947368421
1875,광대싸리,10,8,0.8
662,개다래,7,7,1.0
7207,애기똥풀,1,1,1.0
1875,광대싸리,10,8,0.8
2712,다래,5,5,1.0
2880,떡갈나무,0,0,
1875,광대싸리,10,8,0.8
6102,신갈나무,1,0,0.0
3597,밤나무,5,4,0.8
6568,아까시나무,22,22,1.0
4190,붉나무,9,9,1.0
1048,개옻나무,9,7,0.7777777777777778
1891,광대싸리,13,9,0.6923076923076923
2743,다래,10,10,1.0
2712,다래,5,5,1.0
1925,광대싸리,5,5,1.0
7689,족제비싸리,2,2,1.0
5915,신갈나무,10,2,0.2
2743,다래,5,4,0.8
8544,주름잎,1,0,0.0
3142,떡갈나무,8,7,0.875
4529,산검양옻나무,1,1,1.0
6663,아까시나무,2,1,0.5
6809,애기똥풀,8,8,1.0
6809,애기똥풀,8,8,1.0
7702,족제비싸리,3,1,0.3333333333333333
6568,아까시나무,22,22,1.0
1630,광대싸리,14,14,1.0
6601,아까시나무,18,16,0.8888888888888888
375,갈참나무,5,4,0.8
656,개다래,6,4,0.6666666666666666
1702,광대싸리,0,0,
2623,다래,3,3,1.0
7134,애기똥풀,3,3,1.0
2623,다래,3,3,1.0
7109,애기똥풀,2,2,1.0
5203,산초나무,7,3,0.42857142857142855
636,개다래,8,4,0.5
375,갈참나무,5,4,0.8
718,개다래,7,6,0.8571428571428571
2054,굴참나무,22,1,0.045454545454545456
5271,산초나무,9,1,0.1111111111111111
5977,신갈나무,25,6,0.24
4213,붉나무,1,1,1.0
1550,광대싸리,22,20,0.9090909090909091
391,갈참나무,2,2,1.0
391,갈참나무,2,2,1.0
3738,벼,11,8,0.7272727272727273
3704,밤나무,11,6,0.5454545454545454
3663,밤나무,3,1,0.3333333333333333
654,개다래,5,4,0.8
3663,밤나무,4,1,0.25
2743,다래,5,4,0.8
447,감나무,6,2,0.3333333333333333
2305,굴참나무,3,2,0.6666666666666666
4217,붉나무,2,2,1.0
3151,떡갈나무,3,3,1.0
7113,애기똥풀,11,9,0.8181818181818182
2714,다래,15,11,0.7333333333333333
5271,산초나무,2,1,0.5
2591,다래,0,0,
4110,붉나무,8,6,0.75
5230,산초나무,3,3,1.0
4043,붉나무,5,5,1.0
2517,다래,13,5,0.38461538461538464
6118,신갈나무,7,3,0.42857142857142855
1550,광대싸리,22,20,0.9090909090909091
5230,산초나무,3,3,1.0
4217,붉나무,2,2,1.0
4217,붉나무,2,2,1.0
33,갈참나무,1,1,1.0
1868,광대싸리,2,0,0.0
7113,애기똥풀,13,9,0.6923076923076923
6601,아까시나무,16,16,1.0
5984,신갈나무,7,4,0.5714285714285714
3597,밤나무,4,3,0.75
7126,애기똥풀,6,5,0.8333333333333334
7126,애기똥풀,11,11,1.0
1048,개옻나무,9,7,0.7777777777777778
7463,족제비싸리,3,2,0.6666666666666666
1630,광대싸리,14,14,1.0
1630,광대싸리,14,14,1.0
176,갈참나무,5,5,1.0
2714,다래,14,11,0.7857142857142857
4805,산초나무,4,4,1.0
1550,광대싸리,22,20,0.9090909090909091
2832,떡갈나무,2,2,1.0
4266,붉나무,3,3,1.0
2743,다래,10,10,1.0
4249,붉나무,9,9,1.0
6118,신갈나무,4,3,0.75
2714,다래,15,11,0.7333333333333333
749,개옻나무,1,1,1.0
7574,족제비싸리,4,4,1.0
7574,족제비싸리,4,4,1.0
193,갈참나무,10,5,0.5
2743,다래,10,10,1.0
7463,족제비싸리,2,2,1.0
2517,다래,13,5,0.38461538461538464
652,개다래,0,0,
193,갈참나무,5,5,1.0
6118,신갈나무,4,3,0.75
1925,광대싸리,5,5,1.0
7631,족제비싸리,1,1,1.0
3704,밤나무,5,5,1.0
2678,다래,4,4,1.0
6568,아까시나무,22,22,1.0
198,갈참나무,0,0,
2714,다래,14,11,0.7857142857142857
4213,붉나무,4,4,1.0
1550,광대싸리,22,20,0.9090909090909091
1550,광대싸리,22,20,0.9090909090909091
654,개다래,5,4,0.8
654,개다래,5,4,0.8
5131,산초나무,5,1,0.2
4190,붉나무,9,9,1.0
7082,애기똥풀,9,4,0.4444444444444444
636,개다래,11,11,1.0
5131,산초나무,5,1,0.2
6868,애기똥풀,2,0,0.0
6601,아까시나무,16,16,1.0
176,갈참나무,6,6,1.0
7113,애기똥풀,11,9,0.8181818181818182
7453,족제비싸리,1,0,0.0
7463,족제비싸리,2,2,1.0
2158,굴참나무,8,2,0.25
636,개다래,8,4,0.5
6562,아까시나무,1,0,0.0
2253,굴참나무,10,3,0.3
1775,광대싸리,8,2,0.25
4190,붉나무,9,9,1.0
975,개옻나무,14,9,0.6428571428571429
975,개옻나무,14,9,0.6428571428571429
3704,밤나무,12,6,0.5
2678,다래,5,5,1.0
6562,아까시나무,6,1,0.16666666666666666
4213,붉나무,4,3,0.75
1450,고추,12,1,0.08333333333333333
8433,주름잎,11,9,0.8181818181818182
2684,다래,1,1,1.0
2714,다래,14,11,0.7857142857142857
7011,애기똥풀,6,5,0.8333333333333334
6568,아까시나무,21,21,1.0
8859,초피나무,6,4,0.6666666666666666
1891,광대싸리,13,9,0.6923076923076923
1882,광대싸리,2,2,1.0
7113,애기똥풀,11,9,0.8181818181818182
7113,애기똥풀,12,9,0.75
1875,광대싸리,10,8,0.8
5977,신갈나무,25,6,0.24
4118,붉나무,3,3,1.0
3640,밤나무,13,1,0.07692307692307693
6888,애기똥풀,9,1,0.1111111111111111
6601,아까시나무,16,16,1.0
7701,족제비싸리,5,2,0.4
6663,아까시나무,2,1,0.5
1550,광대싸리,22,20,0.9090909090909091
1550,광대싸리,22,20,0.9090909090909091
213,갈참나무,0,0,
447,감나무,3,2,0.6666666666666666
1550,광대싸리,22,20,0.9090909090909091
1550,광대싸리,23,20,0.8695652173913043
6653,아까시나무,0,0,
4805,산초나무,4,4,1.0
8743,초피나무,5,5,1.0
2136,굴참나무,14,8,0.5714285714285714
1550,광대싸리,22,20,0.9090909090909091
5601,상수리나무,2,1,0.5
5601,상수리나무,1,1,1.0
654,개다래,5,4,0.8
1433,고욤나무,2,1,0.5
5984,신갈나무,6,4,0.6666666666666666
4110,붉나무,8,6,0.75
4110,붉나무,8,6,0.75
926,개옻나무,4,3,0.75
7407,유채,1,1,1.0
1891,광대싸리,13,9,0.6923076923076923
1891,광대싸리,13,9,0.6923076923076923
6490,아까시나무,0,0,
4249,붉나무,9,9,1.0
1437,고욤나무,2,2,1.0
1533,광대싸리,8,6,0.75
2684,다래,1,1,1.0
656,개다래,6,4,0.6666666666666666
431,갈참나무,0,0,
193,갈참나무,10,5,0.5
701,개다래,1,0,0.0
1891,광대싸리,13,9,0.6923076923076923
1882,광대싸리,28,10,0.35714285714285715
6601,아까시나무,16,16,1.0
5632,생열귀나무,20,18,0.9
8128,졸참나무,0,0,
6568,아까시나무,18,14,0.7777777777777778
2517,다래,13,5,0.38461538461538464
7167,애기똥풀,2,0,0.0
5915,신갈나무,10,2,0.2
2678,다래,5,5,1.0
3597,밤나무,7,5,0.7142857142857143
7407,유채,6,4,0.6666666666666666
3691,밤나무,1,1,1.0
1550,광대싸리,22,20,0.9090909090909091
1550,광대싸리,22,20,0.9090909090909091
648,개다래,21,14,0.6666666666666666
5632,생열귀나무,20,18,0.9
6809,애기똥풀,8,8,1.0
1550,광대싸리,22,20,0.9090909090909091
2517,다래,14,5,0.35714285714285715
2136,굴참나무,15,8,0.5333333333333333
2136,굴참나무,14,8,0.5714285714285714
4777,산초나무,0,0,
4190,붉나무,9,9,1.0
3704,밤나무,6,6,1.0
2712,다래,5,5,1.0
4400,붉나무,12,0,0.0
1877,광대싸리,1,1,1.0
1533,광대싸리,8,6,0.75
193,갈참나무,10,5,0.5
101,갈참나무,3,3,1.0
1550,광대싸리,22,20,0.9090909090909091
1550,광대싸리,23,20,0.8695652173913043
1550,광대싸리,22,20,0.9090909090909091
1166,개옻나무,4,0,0.0
7538,족제비싸리,2,0,0.0
6568,아까시나무,18,14,0.7777777777777778
4041,붉나무,7,7,1.0
636,개다래,14,12,0.8571428571428571
3151,떡갈나무,7,3,0.42857142857142855
7407,유채,6,4,0.6666666666666666
1162,개옻나무,25,11,0.44
802,개옻나무,1,1,1.0
447,감나무,3,2,0.6666666666666666
1550,광대싸리,22,20,0.9090909090909091
431,갈참나무,4,4,1.0
8495,주름잎,7,2,0.2857142857142857
656,개다래,6,4,0.6666666666666666
3704,밤나무,5,5,1.0
1887,광대싸리,5,2,0.4
3704,밤나무,1,1,1.0
2005,굴참나무,0,0,
3142,떡갈나무,7,7,1.0
2054,굴참나무,22,1,0.045454545454545456
654,개다래,5,4,0.8
2517,다래,13,5,0.38461538461538464
2217,굴참나무,6,4,0.6666666666666666
1533,광대싸리,8,6,0.75
2712,다래,5,5,1.0
255,갈참나무,2,0,0.0
926,개옻나무,4,3,0.75
7082,애기똥풀,3,3,1.0
648,개다래,21,14,0.6666666666666666
597,개다래,1,1,1.0
1533,광대싸리,9,6,0.6666666666666666
6568,아까시나무,22,22,1.0
1162,개옻나무,26,11,0.4230769230769231
8877,초피나무,1,1,1.0
269,갈참나무,1,0,0.0
5632,생열귀나무,9,6,0.6666666666666666
4510,산검양옻나무,4,0,0.0
926,개옻나무,4,3,0.75
2136,굴참나무,9,8,0.8888888888888888
2217,굴참나무,6,4,0.6666666666666666
141,갈참나무,0,0,
636,개다래,10,10,1.0
636,개다래,10,10,1.0
636,개다래,10,10,1.0
5632,생열귀나무,16,16,1.0
1533,광대싸리,8,6,0.75
478,감나무,0,0,
2253,굴참나무,4,3,0.75
7183,애기똥풀,10,0,0.0
7011,애기똥풀,5,5,1.0
7082,애기똥풀,1,1,1.0
6568,아까시나무,23,22,0.9565217391304348
6568,아까시나무,21,21,1.0
1533,광대싸리,8,6,0.75
8841,초피나무,3,2,0.6666666666666666
8228,졸참나무,0,0,
8841,초피나무,0,0,
5632,생열귀나무,16,16,1.0
6568,아까시나무,18,14,0.7777777777777778
6809,애기똥풀,4,4,1.0
1630,광대싸리,14,14,1.0
8743,초피나무,9,5,0.5555555555555556
8743,초피나무,9,5,0.5555555555555556
718,개다래,7,6,0.8571428571428571
1882,광대싸리,28,10,0.35714285714285715
1882,광대싸리,28,10,0.35714285714285715
2796,떡갈나무,0,0,
2472,다래,3,2,0.6666666666666666
6568,아까시나무,26,25,0.9615384615384616
7082,애기똥풀,1,1,1.0
6562,아까시나무,8,0,0.0
8859,초피나무,0,0,
536,감나무,3,0,0.0
7056,애기똥풀,0,0,
1925,광대싸리,5,5,1.0
2743,다래,10,10,1.0
1079,개옻나무,1,0,0.0
7011,애기똥풀,6,5,0.8333333333333334
2136,굴참나무,14,8,0.5714285714285714
2136,굴참나무,15,8,0.5333333333333333
2517,다래,14,5,0.35714285714285715
5632,생열귀나무,16,16,1.0
7113,애기똥풀,11,9,0.8181818181818182
4110,붉나무,8,6,0.75
4546,산검양옻나무,8,1,0.125
4569,산검양옻나무,2,1,0.5
2517,다래,13,5,0.38461538461538464
319,갈참나무,7,2,0.2857142857142857
2217,굴참나무,7,4,0.5714285714285714
4569,산검양옻나무,2,1,0.5
7126,애기똥풀,5,5,1.0
911,개옻나무,7,6,0.8571428571428571
6919,애기똥풀,6,2,0.3333333333333333
4043,붉나무,6,6,1.0
8841,초피나무,2,2,1.0
2626,다래,2,2,1.0
1630,광대싸리,14,14,1.0
3738,벼,11,8,0.7272727272727273
2678,다래,5,5,1.0
8466,주름잎,0,0,
6601,아까시나무,16,16,1.0
8047,졸참나무,0,0,
431,갈참나무,4,4,1.0
198,갈참나무,0,0,
431,갈참나무,5,4,0.8
975,개옻나무,10,5,0.5
655,개다래,5,0,0.0
2472,다래,2,2,1.0
7574,족제비싸리,4,4,1.0
2678,다래,5,5,1.0
6601,아까시나무,18,16,0.8888888888888888
6601,아까시나무,17,16,0.9411764705882353
7113,애기똥풀,11,9,0.8181818181818182
2641,다래,4,4,1.0
6601,아까시나무,16,16,1.0
5632,생열귀나무,16,16,1.0
6568,아까시나무,28,23,0.8214285714285714
1799,광대싸리,9,9,1.0
6568,아까시나무,22,22,1.0
6568,아까시나무,22,22,1.0
1775,광대싸리,13,8,0.6153846153846154
669,개다래,1,1,1.0
5632,생열귀나무,16,16,1.0
1891,광대싸리,13,9,0.6923076923076923
196,갈참나무,0,0,
2626,다래,2,2,1.0
5977,신갈나무,25,6,0.24
2641,다래,4,4,1.0
2626,다래,2,2,1.0
686,개다래,2,1,0.5
7974,졸참나무,10,6,0.6
705,개다래,0,0,
4190,붉나무,9,9,1.0
1875,광대싸리,10,8,0.8
677,개다래,0,0,
5632,생열귀나무,17,16,0.9411764705882353
5632,생열귀나무,16,16,1.0
6568,아까시나무,26,25,0.9615384615384616
4213,붉나무,4,3,0.75
2208,굴참나무,3,3,1.0
7011,애기똥풀,5,5,1.0
7011,애기똥풀,5,5,1.0
193,갈참나무,6,5,0.8333333333333334
3041,떡갈나무,2,2,1.0
4190,붉나무,9,9,1.0
4249,붉나무,9,9,1.0
679,개다래,5,0,0.0
8433,주름잎,9,9,1.0
8433,주름잎,10,9,0.9
6568,아까시나무,18,14,0.7777777777777778
7113,애기똥풀,11,9,0.8181818181818182
1799,광대싸리,12,9,0.75
6568,아까시나무,22,22,1.0
8072,졸참나무,9,1,0.1111111111111111
5977,신갈나무,25,6,0.24
5632,생열귀나무,16,16,1.0
2253,굴참나무,10,3,0.3
193,갈참나무,11,5,0.45454545454545453
319,갈참나무,6,1,0.16666666666666666
6568,아까시나무,22,22,1.0
6568,아까시나무,18,14,0.7777777777777778
6562,아까시나무,6,1,0.16666666666666666
6568,아까시나무,18,14,0.7777777777777778
6568,아까시나무,22,22,1.0
391,갈참나무,4,4,1.0
5632,생열귀나무,9,6,0.6666666666666666
5632,생열귀나무,20,18,0.9
6888,애기똥풀,10,1,0.1
7126,애기똥풀,11,11,1.0
5632,생열귀나무,20,18,0.9
7126,애기똥풀,11,11,1.0
1048,개옻나무,14,7,0.5
2472,다래,2,2,1.0
3048,떡갈나무,1,0,0.0
2259,굴참나무,18,1,0.05555555555555555
7113,애기똥풀,11,9,0.8181818181818182
2550,다래,4,4,1.0
1891,광대싸리,13,9,0.6923076923076923
1882,광대싸리,28,10,0.35714285714285715
6610,아까시나무,0,0,
6238,아까시나무,4,2,0.5
5632,생열귀나무,16,16,1.0
4546,산검양옻나무,8,1,0.125
431,갈참나무,4,4,1.0
8475,주름잎,4,0,0.0
4115,붉나무,4,2,0.5
1162,개옻나무,25,11,0.44
1875,광대싸리,10,8,0.8
6568,아까시나무,28,23,0.8214285714285714
7011,애기똥풀,5,5,1.0
193,갈참나무,14,5,0.35714285714285715
193,갈참나무,5,5,1.0
8841,초피나무,3,2,0.6666666666666666
6809,애기똥풀,11,6,0.5454545454545454
6118,신갈나무,3,3,1.0
6809,애기똥풀,10,6,0.6
7942,졸참나무,0,0,
6809,애기똥풀,10,6,0.6
663,개다래,4,2,0.5
6568,아까시나무,28,23,0.8214285714285714
1431,고욤나무,1,0,0.0
2550,다래,4,4,1.0
1825,광대싸리,1,1,1.0
2743,다래,13,13,1.0
2743,다래,10,10,1.0
704,개다래,6,0,0.0
8742,초피나무,9,5,0.5555555555555556
6809,애기똥풀,10,6,0.6
6490,아까시나무,0,0,
1882,광대싸리,28,10,0.35714285714285715
5632,생열귀나무,16,16,1.0
5632,생열귀나무,16,16,1.0
5977,신갈나무,25,6,0.24
6828,애기똥풀,10,3,0.3
4043,붉나무,6,6,1.0
1167,개옻나무,28,3,0.10714285714285714
4390,붉나무,1,0,0.0
2076,굴참나무,10,1,0.1
2076,굴참나무,9,1,0.1111111111111111
6828,애기똥풀,10,3,0.3
1550,광대싸리,22,20,0.9090909090909091
7551,족제비싸리,9,3,0.3333333333333333
7551,족제비싸리,9,3,0.3333333333333333
7551,족제비싸리,3,3,1.0
1533,광대싸리,8,6,0.75
1167,개옻나무,28,3,0.10714285714285714
7098,애기똥풀,17,0,0.0
193,갈참나무,5,5,1.0
1882,광대싸리,28,10,0.35714285714285715
3704,밤나무,7,6,0.8571428571428571
1162,개옻나무,25,11,0.44
1433,고욤나무,2,1,0.5
5417,상수리나무,0,0,
1799,광대싸리,12,9,0.75
193,갈참나무,5,5,1.0
5632,생열귀나무,16,16,1.0
7126,애기똥풀,11,11,1.0
7551,족제비싸리,3,0,0.0
7574,족제비싸리,0,0,
1799,광대싸리,12,9,0.75
7126,애기똥풀,11,11,1.0
7974,졸참나무,10,6,0.6
7974,졸참나무,10,6,0.6
3704,밤나무,5,5,1.0
1882,광대싸리,28,10,0.35714285714285715
7126,애기똥풀,11,11,1.0
7974,졸참나무,10,6,0.6
7126,애기똥풀,11,11,1.0
2743,다래,10,10,1.0
1825,광대싸리,1,1,1.0
1162,개옻나무,26,11,0.4230769230769231
6118,신갈나무,3,3,1.0
8859,초피나무,6,4,0.6666666666666666
6118,신갈나무,3,3,1.0
7974,졸참나무,11,6,0.5454545454545454
7126,애기똥풀,11,11,1.0
648,개다래,21,14,0.6666666666666666
6828,애기똥풀,10,3,0.3
7126,애기똥풀,11,11,1.0
4190,붉나무,9,9,1.0
7574,족제비싸리,0,0,
6992,애기똥풀,3,3,1.0
6828,애기똥풀,10,3,0.3
5079,산초나무,10,4,0.4
6568,아까시나무,28,23,0.8214285714285714
6238,아까시나무,5,1,0.2
1162,개옻나무,25,11,0.44
1162,개옻나무,25,11,0.44
3597,밤나무,6,4,0.6666666666666666
1799,광대싸리,9,9,1.0
4190,붉나무,9,9,1.0
6992,애기똥풀,3,3,1.0
8472,주름잎,2,1,0.5
193,갈참나무,10,10,1.0
5079,산초나무,10,4,0.4
8877,초피나무,1,1,1.0
8859,초피나무,6,4,0.6666666666666666
5079,산초나무,10,4,0.4
1799,광대싸리,12,9,0.75
1799,광대싸리,12,9,0.75
4805,산초나무,4,4,1.0
1479,광대싸리,0,0,
1242,고욤나무,4,2,0.5
1242,고욤나무,4,2,0.5
6256,아까시나무,2,1,0.5
1242,고욤나무,4,2,0.5
4190,붉나무,10,9,0.9
1799,광대싸리,12,9,0.75
6601,아까시나무,16,16,1.0
6601,아까시나무,16,16,1.0
6601,아까시나무,17,16,0.9411764705882353
6568,아까시나무,22,22,1.0
6568,아까시나무,18,14,0.7777777777777778
856,개옻나무,2,1,0.5
6601,아까시나무,16,16,1.0
856,개옻나무,1,1,1.0
7719,족제비싸리,4,4,1.0
8228,졸참나무,1,1,1.0
4966,산초나무,2,1,0.5
8841,초피나무,1,1,1.0
6992,애기똥풀,3,3,1.0
176,갈참나무,5,4,0.8
7460,족제비싸리,1,0,0.0
6238,아까시나무,6,2,0.3333333333333333
6356,아까시나무,0,0,
6353,아까시나무,2,1,0.5
8072,졸참나무,9,1,0.1111111111111111
6405,아까시나무,0,0,
4193,붉나무,0,0,
645,개다래,2,1,0.5
8273,종가시나무,0,0,
629,개다래,10,5,0.5
4808,산초나무,1,0,0.0
176,갈참나무,11,7,0.6363636363636364
2567,다래,5,3,0.6
176,갈참나무,5,4,0.8
4522,산검양옻나무,0,0,
2714,다래,13,11,0.8461538461538461
2739,다래,1,1,1.0
4041,붉나무,3,2,0.6666666666666666
2060,굴참나무,3,2,0.6666666666666666
560,개다래,1,1,1.0
7407,유채,4,1,0.25
2567,다래,5,3,0.6
3753,붉가시나무,0,0,
77,갈참나무,0,0,
3704,밤나무,6,5,0.8333333333333334
890,개옻나무,2,1,0.5
176,갈참나무,4,4,1.0
3142,떡갈나무,7,7,1.0
8859,초피나무,6,4,0.6666666666666666
3151,떡갈나무,3,3,1.0
391,갈참나무,4,4,1.0
176,갈참나무,5,4,0.8
911,개옻나무,2,0,0.0
4043,붉나무,4,2,0.5
2714,다래,15,11,0.7333333333333333
4994,산초나무,0,0,
2714,다래,15,11,0.7333333333333333
500,감나무,10,0,0.0
6983,애기똥풀,10,4,0.4
8329,주름잎,1,1,1.0
3738,벼,11,8,0.7272727272727273
1775,광대싸리,8,7,0.875
485,감나무,1,1,1.0
8472,주름잎,1,1,1.0
3142,떡갈나무,8,7,0.875
1882,광대싸리,28,10,0.35714285714285715
1433,고욤나무,0,0,
3428,밤나무,0,0,
283,갈참나무,4,4,1.0
7689,족제비싸리,2,2,1.0
1870,광대싸리,2,0,0.0
3738,벼,14,8,0.5714285714285714
2832,떡갈나무,2,2,1.0
6601,아까시나무,16,16,1.0
6386,아까시나무,0,0,
4043,붉나무,4,2,0.5
560,개다래,1,1,1.0
485,감나무,1,1,1.0
4249,붉나무,9,9,1.0
3444,밤나무,4,3,0.75
1046,개옻나무,8,4,0.5
7942,졸참나무,9,5,0.5555555555555556
283,갈참나무,1,1,1.0
289,갈참나무,0,0,
283,갈참나무,1,1,1.0
283,갈참나무,4,4,1.0
6047,신갈나무,1,0,0.0
373,갈참나무,0,0,
4653,산초나무,0,0,
2244,굴참나무,6,5,0.8333333333333334
328,갈참나무,0,0,
1630,광대싸리,14,14,1.0
8433,주름잎,9,9,1.0
7044,애기똥풀,8,0,0.0
681,개다래,3,3,1.0
3738,벼,11,8,0.7272727272727273
2313,굴참나무,28,1,0.03571428571428571
7702,족제비싸리,4,3,0.75
7689,족제비싸리,2,2,1.0
890,개옻나무,2,1,0.5
283,갈참나무,4,4,1.0
5230,산초나무,3,3,1.0
6118,신갈나무,7,3,0.42857142857142855
7407,유채,6,4,0.6666666666666666
4043,붉나무,6,6,1.0
4249,붉나무,1,1,1.0
176,갈참나무,5,5,1.0
3738,벼,13,8,0.6153846153846154
911,개옻나무,7,6,0.8571428571428571
8536,주름잎,2,2,1.0
3153,떡갈나무,0,0,
8536,주름잎,2,2,1.0
8536,주름잎,2,2,1.0
201,갈참나무,0,0,
1550,광대싸리,22,20,0.9090909090909091
1137,개옻나무,1,1,1.0
8495,주름잎,2,2,1.0
686,개다래,2,1,0.5
173,갈참나무,0,0,
1630,광대싸리,14,14,1.0
391,갈참나무,4,4,1.0
7030,애기똥풀,1,0,0.0
2683,다래,2,1,0.5
6601,아까시나무,17,16,0.9411764705882353
4249,붉나무,2,1,0.5
8896,초피나무,2,2,1.0
1157,개옻나무,0,0,
2734,다래,0,0,
1167,개옻나무,28,3,0.10714285714285714
8433,주름잎,9,9,1.0
560,개다래,1,1,1.0
1875,광대싸리,10,8,0.8
7222,애기똥풀,0,0,
6983,애기똥풀,10,4,0.4
176,갈참나무,5,2,0.4
3738,벼,13,8,0.6153846153846154
7272,옻나무,4,4,1.0
7113,애기똥풀,11,9,0.8181818181818182
7702,족제비싸리,4,3,0.75
283,갈참나무,4,4,1.0
3640,밤나무,13,1,0.07692307692307693
3597,밤나무,3,2,0.6666666666666666
681,개다래,3,3,1.0
648,개다래,21,14,0.6666666666666666
4041,붉나무,2,2,1.0
2373,누운주름잎,1,1,1.0
2373,누운주름잎,1,1,1.0
644,개다래,0,0,
681,개다래,3,3,1.0
391,갈참나무,4,4,1.0
8433,주름잎,9,9,1.0
4213,붉나무,3,1,0.3333333333333333
2567,다래,5,3,0.6
7109,애기똥풀,2,2,1.0
1182,개옻나무,0,0,
4202,붉나무,0,0,
718,개다래,7,6,0.8571428571428571
1303,고욤나무,5,2,0.4
1775,광대싸리,7,7,1.0
2529,다래,1,0,0.0
648,개다래,21,14,0.6666666666666666
2128,굴참나무,1,1,1.0
2217,굴참나무,6,4,0.6666666666666666
7942,졸참나무,9,5,0.5555555555555556
2683,다래,2,1,0.5
4190,붉나무,9,9,1.0
5448,상수리나무,0,0,
5650,신갈나무,0,0,
