Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96,nearby_97,nearby_98,nearby_99,nearby_100,nearby_101,nearby_102,nearby_103,nearby_104,nearby_105,nearby_106,nearby_107,nearby_108,nearby_109,nearby_110,nearby_111,nearby_112,nearby_113,nearby_114,nearby_115,nearby_116,nearby_117,nearby_118,nearby_119,nearby_120,nearby_121,nearby_122,nearby_123
37.146709,129.0483328,벌-개량종,170,7634,붉나무,개다래,붉나무,개다래,신갈나무,애기똥풀,신갈나무,개다래,개옻나무,다래,붉나무,신갈나무,애기똥풀,광대싸리,다래,신갈나무,애기똥풀,해당화,광대싸리,다래,다래,광대싸리,아까시나무,붉나무,붉나무,광대싸리,아까시나무,족제비싸리,족제비싸리,아까시나무,붉나무,고욤나무,광대싸리,개다래,신갈나무,다래,개옻나무,애기똥풀,신갈나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8496926,126.9644347,벌-개량종,1,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.9213983,129.1566704,벌-개량종,8,6790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4328334,128.0152246,벌-개량종,100,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.433975,127.6260086,벌-개량종,80,4575,유채,감나무,초피나무,애기똥풀,산검양옻나무,초피나무,아까시나무,상수리나무,붉나무,고욤나무,떡갈나무,누운주름잎,굴참나무,갈참나무,개다래,떡갈나무,다래,갈참나무,광대싸리,아까시나무,개다래,졸참나무,밤나무,신갈나무,상수리나무,족제비싸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7325426,128.1554979,벌-개량종,3,8851,피마자,갈참나무,붉나무,족제비싸리,고욤나무,산밤나무,광대싸리,졸참나무,초피나무,신갈나무,다래,개옻나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.2480059,126.9756866,벌-개량종,1,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.3608443,128.4593874,벌-개량종,1,8900,아까시나무,족제비싸리,고욤나무,상수리나무,밤나무,떡갈나무,피마자,족제비싸리,갈참나무,애기똥풀,굴참나무,붉나무,붉나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.2164841,126.5568892,벌-개량종,100,1991,졸참나무,개옻나무,아까시나무,아까시나무,산초나무,상수리나무,붉나무,족제비싸리,굴참나무,떡갈나무,굴참나무,붉나무,졸참나무,상수리나무,상수리나무,떡갈나무,갈참나무,감나무,산초나무,떡갈나무,아까시나무,졸참나무,굴참나무,갈참나무,굴참나무,산초나무,굴참나무,갈참나무,굴참나무,상수리나무,졸참나무,굴참나무,떡갈나무,애기똥풀,갈참나무,광대싸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2140877,129.3262249,벌-개량종,51,8872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8708318,126.9915122,벌-개량종,1,5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6618261,129.4303147,벌-개량종,50,569,개다래,개옻나무,광대싸리,굴참나무,떡갈나무,밤나무,붉나무,산초나무,상수리나무,신갈나무,아까시나무,졸참나무,애기똥풀,초피나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0389006,126.9988465,벌-개량종,1,6717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.7072744,128.9161633,벌-개량종,60,2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4392596,129.1784042,벌-개량종,40,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2140877,129.3262249,벌-개량종,20,8872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2340491,129.1662579,벌-개량종,80,5936,신갈나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.3608544,129.1989029,벌-개량종,150,7668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5847694,128.6407562,벌-개량종,40,1131,다래,쥐다래,개옻나무,개옻나무,신갈나무,신갈나무,쥐다래,광대싸리,개옻나무,다래,신갈나무,주름잎,쥐다래,개옻나무,다래,신갈나무,주름잎,쥐다래,개다래,다래,붉나무,개옻나무,떡갈나무,밤나무,신갈나무,아까시나무,애기똥풀,족제비싸리,개다래,개옻나무,다래,신갈나무,쥐다래,생열귀나무,쥐다래,신갈나무,개다래,주름잎,개다래,신갈나무,개다래,신갈나무,붉나무,개옻나무,쥐다래,개옻나무,신갈나무,개옻나무,다래,다래,개다래,다래,붉나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5847694,128.6407562,벌-개량종,30,1131,다래,쥐다래,개옻나무,개옻나무,신갈나무,신갈나무,쥐다래,광대싸리,개옻나무,다래,신갈나무,주름잎,쥐다래,개옻나무,다래,신갈나무,주름잎,쥐다래,개다래,다래,붉나무,개옻나무,떡갈나무,밤나무,신갈나무,아까시나무,애기똥풀,족제비싸리,개다래,개옻나무,다래,신갈나무,쥐다래,생열귀나무,쥐다래,신갈나무,개다래,주름잎,개다래,신갈나무,개다래,신갈나무,붉나무,개옻나무,쥐다래,개옻나무,신갈나무,개옻나무,다래,다래,개다래,다래,붉나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5847694,128.6407562,벌-개량종,29,1131,다래,쥐다래,개옻나무,개옻나무,신갈나무,신갈나무,쥐다래,광대싸리,개옻나무,다래,신갈나무,주름잎,쥐다래,개옻나무,다래,신갈나무,주름잎,쥐다래,개다래,다래,붉나무,개옻나무,떡갈나무,밤나무,신갈나무,아까시나무,애기똥풀,족제비싸리,개다래,개옻나무,다래,신갈나무,쥐다래,생열귀나무,쥐다래,신갈나무,개다래,주름잎,개다래,신갈나무,개다래,신갈나무,붉나무,개옻나무,쥐다래,개옻나무,신갈나무,개옻나무,다래,다래,개다래,다래,붉나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.7376414,128.875436,벌-개량종,20,6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8072658,127.4319402,벌-개량종,400,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.4196814,127.6117698,벌-개량종,15,475,유채,감나무,초피나무,애기똥풀,산검양옻나무,초피나무,아까시나무,상수리나무,붉나무,고욤나무,떡갈나무,누운주름잎,굴참나무,갈참나무,개다래,떡갈나무,갈참나무,광대싸리,아까시나무,개다래,졸참나무,밤나무,신갈나무,상수리나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3085008,128.2774354,벌-개량종,300,6881,애기똥풀,주름잎,애기똥풀,주름잎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2132563,129.0268626,벌-개량종,180,5128,산초나무,붉나무,아까시나무,붉나무,고욤나무,고욤나무,광대싸리,개다래,신갈나무,다래,개옻나무,애기똥풀,주름잎,유채,감나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1002164,127.749467,벌-개량종,50,4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.5640875,127.2965426,벌-개량종,300,100,아까시나무,굴참나무,졸참나무,주름잎,애기똥풀,산초나무,족제비싸리,갈참나무,목향장미,유채,떡갈나무,옻나무,밤나무,신갈나무,붉나무,다래,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.5640875,127.2965426,벌-개량종,30,100,아까시나무,굴참나무,졸참나무,주름잎,애기똥풀,산초나무,족제비싸리,갈참나무,목향장미,유채,떡갈나무,옻나무,밤나무,신갈나무,붉나무,다래,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.139544,127.7420999,벌-개량종,58,490,애기똥풀,붉나무,아까시나무,감나무,밤나무,광대싸리,상수리나무,신갈나무,아까시나무,애기똥풀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8494311,127.6500498,벌-개량종,200,4113,고욤나무,아까시나무,광대싸리,산초나무,족제비싸리,졸참나무,개옻나무,고욤나무,피마자,붉나무,개옻나무,주름잎,졸참나무,애기똥풀,밤나무,해당화,떡갈나무,애기똥풀,주름잎,상수리나무,아까시나무,붉나무,굴참나무,신갈나무,굴참나무,광대싸리,다래,산초나무,상수리나무,다래,밤나무,갈참나무,신갈나무,떡갈나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.4993716,128.3894438,벌-개량종,380,8374,주름잎,주름잎,애기똥풀,족제비싸리,애기똥풀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.7511633,128.6213796,벌-개량종,1,477,초피나무,개옻나무,붉나무,산초나무,아까시나무,밤나무,감나무,신갈나무,졸참나무,상수리나무,갈참나무,족제비싸리,애기똥풀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.9916145,126.9880128,벌-개량종,1,6717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8120935,128.6416647,벌-개량종,1,241,애기똥풀,갈참나무,족제비싸리,산초나무,신갈나무,졸참나무,초피나무,떡갈나무,광대싸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8929232,127.573778,벌-개량종,15,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.9489306,129.4207583,벌-개량종,30,3989,아까시나무,족제비싸리,애기똥풀,애기똥풀,붉나무,주름잎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4483495,128.3463791,벌-개량종,70,211,갈참나무,개옻나무,고욤나무,광대싸리,굴참나무,다래,밤나무,붉나무,산초나무,상수리나무,신갈나무,아까시나무,애기똥풀,족제비싸리,졸참나무,주름잎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.474209,128.362204,벌-개량종,150,211,갈참나무,개옻나무,고욤나무,광대싸리,굴참나무,다래,밤나무,붉나무,산초나무,상수리나무,신갈나무,아까시나무,애기똥풀,족제비싸리,졸참나무,주름잎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.6671652,127.967412,벌-개량종,30,4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.428639,127.8227737,벌-개량종,400,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.5520282,127.7022051,벌-개량종,150,6742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4964149,127.1175656,벌-개량종,1,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
